13 10
0111111111
0101100001
0111100001
0101111111
1111111111
1111111111
1101111111
1101110111
1101110111
1111111111
0101111111
0111110110
0000011110
150
1 2 3 4
1 2 3 5
1 4 4 10
1 5 4 10
1 2 5 4
1 2 5 5
1 2 5 10
1 4 5 10
1 5 5 10
1 2 6 4
1 2 6 5
1 2 6 10
1 4 6 10
1 5 6 10
1 4 7 10
1 5 7 10
1 2 10 4
1 2 10 5
1 2 10 10
1 4 10 10
1 5 10 10
1 4 11 10
1 5 11 10
1 2 12 4
1 2 12 5
3 2 5 4
3 2 5 5
3 2 6 4
3 2 6 5
3 2 10 4
3 2 10 5
3 2 12 4
3 2 12 5
4 4 10 8
4 4 10 9
4 4 10 10
4 5 10 8
4 5 10 9
4 5 10 10
4 6 10 8
4 6 10 9
4 6 10 10
4 4 11 8
4 4 11 9
4 4 11 10
4 5 11 8
4 5 11 9
4 5 11 10
4 6 11 8
4 6 11 9
4 6 11 10
4 6 13 8
4 6 13 9
5 1 10 4
5 1 10 5
5 1 10 6
5 1 10 8
5 1 10 9
5 1 10 10
5 2 10 4
5 2 10 5
5 2 10 6
5 2 10 8
5 2 10 9
5 2 10 10
5 4 10 8
5 4 10 9
5 4 10 10
5 5 10 8
5 5 10 9
5 5 10 10
5 6 10 8
5 6 10 9
5 6 10 10
5 4 11 8
5 4 11 9
5 4 11 10
5 5 11 8
5 5 11 9
5 5 11 10
5 6 11 8
5 6 11 9
5 6 11 10
5 2 12 4
5 2 12 5
5 2 12 6
5 6 13 8
5 6 13 9
6 1 10 4
6 1 10 5
6 1 10 6
6 1 10 8
6 1 10 9
6 1 10 10
6 2 10 4
6 2 10 5
6 2 10 6
6 2 10 8
6 2 10 9
6 2 10 10
6 4 10 8
6 4 10 9
6 4 10 10
6 5 10 8
6 5 10 9
6 5 10 10
6 6 10 8
6 6 10 9
6 6 10 10
6 4 11 8
6 4 11 9
6 4 11 10
6 5 11 8
6 5 11 9
6 5 11 10
6 6 11 8
6 6 11 9
6 6 11 10
6 2 12 4
6 2 12 5
6 2 12 6
6 6 13 8
6 6 13 9
7 4 10 8
7 4 10 9
7 4 10 10
7 5 10 8
7 5 10 9
7 5 10 10
7 6 10 8
7 6 10 9
7 6 10 10
7 4 11 8
7 4 11 9
7 4 11 10
7 5 11 8
7 5 11 9
7 5 11 10
7 6 11 8
7 6 11 9
7 6 11 10
7 6 13 8
7 6 13 9
10 2 12 4
10 2 12 5
10 2 12 6
10 6 13 8
10 6 13 9
11 6 13 8
11 6 13 9
