10 12
011110000000
010111111100
011111111100
010111101100
011111101100
111111111100
110111111100
111110000100
111111111100
000000000000
79
1 2 3 4
1 2 3 5
1 2 5 4
1 2 5 5
1 2 6 4
1 2 6 5
1 2 8 4
1 2 8 5
1 2 9 4
1 2 9 5
2 4 6 9
2 4 6 10
2 5 6 9
2 5 6 10
2 6 6 9
2 6 6 10
2 7 6 9
2 7 6 10
2 4 7 9
2 4 7 10
2 5 7 9
2 5 7 10
2 6 7 9
2 6 7 10
2 7 7 9
2 7 7 10
2 4 9 10
2 5 9 10
3 2 5 4
3 2 5 5
3 2 5 6
3 2 5 7
3 2 6 4
3 2 6 5
3 2 6 6
3 2 6 7
3 2 6 9
3 2 6 10
3 4 6 9
3 4 6 10
3 5 6 9
3 5 6 10
3 6 6 9
3 6 6 10
3 7 6 9
3 7 6 10
3 4 7 9
3 4 7 10
3 5 7 9
3 5 7 10
3 6 7 9
3 6 7 10
3 7 7 9
3 7 7 10
3 2 8 4
3 2 8 5
3 2 9 4
3 2 9 5
3 2 9 10
3 4 9 10
3 5 9 10
5 2 8 4
5 2 8 5
5 2 9 4
5 2 9 5
6 1 8 4
6 1 8 5
6 2 8 4
6 2 8 5
6 1 9 4
6 1 9 5
6 1 9 10
6 2 9 4
6 2 9 5
6 2 9 10
6 4 9 10
6 5 9 10
7 4 9 10
7 5 9 10
