14 10
0111110000
0101110000
1111111110
1111111111
1111110011
1111111111
1111111111
1111111111
1111110011
1111111111
1111111110
1011111110
1111111110
0000000000
252
1 2 3 4
1 2 3 5
1 2 3 6
1 2 4 4
1 2 4 5
1 2 4 6
1 2 5 4
1 2 5 5
1 2 5 6
1 2 6 4
1 2 6 5
1 2 6 6
1 2 7 4
1 2 7 5
1 2 7 6
1 2 8 4
1 2 8 5
1 2 8 6
1 2 9 4
1 2 9 5
1 2 9 6
1 2 10 4
1 2 10 5
1 2 10 6
1 2 11 4
1 2 11 5
1 2 11 6
3 1 6 9
3 2 6 9
3 3 6 9
3 4 6 9
3 5 6 9
3 6 6 9
3 1 7 9
3 2 7 9
3 3 7 9
3 4 7 9
3 5 7 9
3 6 7 9
3 1 8 9
3 2 8 9
3 3 8 9
3 4 8 9
3 5 8 9
3 6 8 9
3 1 10 9
3 2 10 9
3 3 10 9
3 4 10 9
3 5 10 9
3 6 10 9
3 1 11 9
3 2 11 9
3 3 11 9
3 4 11 9
3 5 11 9
3 6 11 9
3 3 12 9
3 4 12 9
3 5 12 9
3 6 12 9
3 1 13 3
3 1 13 4
3 1 13 5
3 1 13 6
3 1 13 9
3 3 13 9
3 4 13 9
3 5 13 9
3 6 13 9
4 1 6 9
4 1 6 10
4 2 6 9
4 2 6 10
4 3 6 9
4 3 6 10
4 4 6 9
4 4 6 10
4 5 6 9
4 5 6 10
4 6 6 9
4 6 6 10
4 1 7 9
4 1 7 10
4 2 7 9
4 2 7 10
4 3 7 9
4 3 7 10
4 4 7 9
4 4 7 10
4 5 7 9
4 5 7 10
4 6 7 9
4 6 7 10
4 1 8 9
4 1 8 10
4 2 8 9
4 2 8 10
4 3 8 9
4 3 8 10
4 4 8 9
4 4 8 10
4 5 8 9
4 5 8 10
4 6 8 9
4 6 8 10
4 1 10 9
4 1 10 10
4 2 10 9
4 2 10 10
4 3 10 9
4 3 10 10
4 4 10 9
4 4 10 10
4 5 10 9
4 5 10 10
4 6 10 9
4 6 10 10
4 1 11 9
4 2 11 9
4 3 11 9
4 4 11 9
4 5 11 9
4 6 11 9
4 3 12 9
4 4 12 9
4 5 12 9
4 6 12 9
4 1 13 3
4 1 13 4
4 1 13 5
4 1 13 6
4 1 13 9
4 3 13 9
4 4 13 9
4 5 13 9
4 6 13 9
5 1 13 3
5 1 13 4
5 1 13 5
5 1 13 6
6 1 10 9
6 1 10 10
6 2 10 9
6 2 10 10
6 3 10 9
6 3 10 10
6 4 10 9
6 4 10 10
6 5 10 9
6 5 10 10
6 6 10 9
6 6 10 10
6 1 11 9
6 2 11 9
6 3 11 9
6 4 11 9
6 5 11 9
6 6 11 9
6 3 12 9
6 4 12 9
6 5 12 9
6 6 12 9
6 1 13 3
6 1 13 4
6 1 13 5
6 1 13 6
6 1 13 9
6 3 13 9
6 4 13 9
6 5 13 9
6 6 13 9
7 1 10 9
7 1 10 10
7 2 10 9
7 2 10 10
7 3 10 9
7 3 10 10
7 4 10 9
7 4 10 10
7 5 10 9
7 5 10 10
7 6 10 9
7 6 10 10
7 1 11 9
7 2 11 9
7 3 11 9
7 4 11 9
7 5 11 9
7 6 11 9
7 3 12 9
7 4 12 9
7 5 12 9
7 6 12 9
7 1 13 3
7 1 13 4
7 1 13 5
7 1 13 6
7 1 13 9
7 3 13 9
7 4 13 9
7 5 13 9
7 6 13 9
8 1 10 9
8 1 10 10
8 2 10 9
8 2 10 10
8 3 10 9
8 3 10 10
8 4 10 9
8 4 10 10
8 5 10 9
8 5 10 10
8 6 10 9
8 6 10 10
8 1 11 9
8 2 11 9
8 3 11 9
8 4 11 9
8 5 11 9
8 6 11 9
8 3 12 9
8 4 12 9
8 5 12 9
8 6 12 9
8 1 13 3
8 1 13 4
8 1 13 5
8 1 13 6
8 1 13 9
8 3 13 9
8 4 13 9
8 5 13 9
8 6 13 9
9 1 13 3
9 1 13 4
9 1 13 5
9 1 13 6
10 1 13 3
10 1 13 4
10 1 13 5
10 1 13 6
10 1 13 7
10 1 13 8
10 1 13 9
11 1 13 3
11 1 13 4
11 1 13 5
11 1 13 6
11 1 13 7
11 1 13 8
11 1 13 9
