17 15
011111111100000
010101000100000
011111111111000
011101000101000
011101000101000
011111111101000
011111111111000
011101001101000
011111001111110
011101001111010
011111111111010
011111111111010
011001001011010
011111001011010
011111111011110
001111111111000
000000000000000
232
1 2 3 4
1 2 3 6
1 2 3 10
1 4 3 6
1 4 3 10
1 6 3 10
1 2 4 4
1 2 5 4
1 2 6 4
1 2 6 6
1 2 6 10
1 4 6 6
1 4 6 10
1 6 6 10
1 2 7 4
1 2 7 6
1 2 7 10
1 4 7 6
1 4 7 10
1 6 7 10
1 2 8 4
1 2 9 4
1 2 9 6
1 4 9 6
1 2 10 4
1 2 11 4
1 2 11 6
1 2 11 10
1 4 11 6
1 4 11 10
1 6 11 10
1 2 12 4
1 2 12 6
1 2 12 10
1 4 12 6
1 4 12 10
1 6 12 10
1 2 14 6
1 2 15 6
3 2 6 6
3 2 6 10
3 3 6 6
3 3 6 10
3 4 6 6
3 4 6 10
3 6 6 10
3 2 7 6
3 2 7 10
3 2 7 12
3 3 7 6
3 3 7 10
3 3 7 12
3 4 7 6
3 4 7 10
3 4 7 12
3 6 7 10
3 6 7 12
3 10 7 12
3 2 9 6
3 3 9 6
3 4 9 6
3 10 9 12
3 10 10 12
3 2 11 6
3 2 11 10
3 2 11 12
3 3 11 6
3 3 11 10
3 3 11 12
3 4 11 6
3 4 11 10
3 4 11 12
3 6 11 10
3 6 11 12
3 10 11 12
3 2 12 6
3 2 12 10
3 2 12 12
3 3 12 6
3 3 12 10
3 3 12 12
3 4 12 6
3 4 12 10
3 4 12 12
3 6 12 10
3 6 12 12
3 10 12 12
3 2 14 6
3 3 14 6
3 2 15 6
3 3 15 6
3 3 16 6
3 3 16 12
3 6 16 12
6 2 9 6
6 3 9 6
6 4 9 6
6 2 11 6
6 2 11 9
6 2 11 10
6 3 11 6
6 3 11 9
6 3 11 10
6 4 11 6
6 4 11 9
6 4 11 10
6 6 11 9
6 6 11 10
6 2 12 6
6 2 12 9
6 2 12 10
6 3 12 6
6 3 12 9
6 3 12 10
6 4 12 6
6 4 12 9
6 4 12 10
6 6 12 9
6 6 12 10
6 2 14 6
6 3 14 6
6 2 15 6
6 2 15 9
6 3 15 6
6 3 15 9
6 6 15 9
6 3 16 6
6 3 16 9
6 6 16 9
7 2 9 6
7 3 9 6
7 4 9 6
7 9 9 12
7 10 9 12
7 9 10 12
7 10 10 12
7 2 11 6
7 2 11 9
7 2 11 10
7 2 11 12
7 3 11 6
7 3 11 9
7 3 11 10
7 3 11 12
7 4 11 6
7 4 11 9
7 4 11 10
7 4 11 12
7 6 11 9
7 6 11 10
7 6 11 12
7 9 11 12
7 10 11 12
7 2 12 6
7 2 12 9
7 2 12 10
7 2 12 12
7 3 12 6
7 3 12 9
7 3 12 10
7 3 12 12
7 4 12 6
7 4 12 9
7 4 12 10
7 4 12 12
7 6 12 9
7 6 12 10
7 6 12 12
7 9 12 12
7 10 12 12
7 2 14 6
7 3 14 6
7 2 15 6
7 2 15 9
7 3 15 6
7 3 15 9
7 6 15 9
7 3 16 6
7 3 16 9
7 3 16 12
7 6 16 9
7 6 16 12
7 9 16 12
9 2 11 6
9 3 11 6
9 4 11 6
9 2 12 6
9 3 12 6
9 4 12 6
9 2 14 6
9 3 14 6
9 2 15 6
9 3 15 6
9 11 15 14
9 12 15 14
9 3 16 6
9 9 16 11
9 9 16 12
10 9 16 11
10 9 16 12
11 2 14 6
11 3 14 6
11 2 15 6
11 2 15 9
11 3 15 6
11 3 15 9
11 6 15 9
11 3 16 6
11 3 16 9
11 3 16 11
11 3 16 12
11 6 16 9
11 6 16 11
11 6 16 12
11 9 16 11
11 9 16 12
12 2 14 6
12 3 14 6
12 2 15 6
12 2 15 9
12 3 15 6
12 3 15 9
12 6 15 9
12 3 16 6
12 3 16 9
12 3 16 11
12 3 16 12
12 6 16 9
12 6 16 11
12 6 16 12
12 9 16 11
12 9 16 12
