20 24
000111111111000000000000
000100000111111111111100
000100000101000000000100
000100000101111111100100
000100000101000000100100
000100000101000000100100
001111111111100000100100
001100000101100000100100
001100000101100000100100
001111111111100000100100
001000000111111111111100
001000000001100000100000
001111111111100000100000
000000000001000000100000
000000000001000000100000
000001110001000000100000
000001010001000000100000
000001010001111111100000
000001110000000000000000
000000000000000000000000
30
1 4 7 10
1 4 7 12
1 10 7 12
1 4 10 10
1 4 10 12
1 10 10 12
1 10 11 12
2 10 7 12
2 10 10 12
2 10 11 12
2 10 11 22
2 12 11 22
4 12 11 19
4 12 18 19
7 3 10 10
7 3 10 12
7 3 10 13
7 4 10 10
7 4 10 12
7 4 10 13
7 10 10 12
7 10 10 13
7 10 11 12
7 10 11 13
7 3 13 12
7 3 13 13
10 3 13 12
10 3 13 13
11 12 18 19
16 6 19 8
