22 21
011111111111111111000
010100000010000001000
011111111110000001000
011100000110000001000
011100000110000001000
011100000110000001000
011111111110000001000
001100111100000001000
001100101101111111111
001100101101000001001
001100101111110001001
001100101111010001001
001100101111010001001
001100111111010001001
001111111111111111001
001111111111110010001
000010000011111111111
000011111111111110000
000000000011110000000
000000000010100000000
000000000010100000000
000000000011100000000
82
1 2 3 4
1 2 3 11
1 4 3 11
1 2 4 4
1 2 5 4
1 2 6 4
1 2 7 4
1 2 7 11
1 4 7 11
1 4 15 18
3 2 7 10
3 2 7 11
3 3 7 10
3 3 7 11
3 4 7 10
3 4 7 11
3 3 15 10
3 4 15 10
3 3 16 10
3 4 16 10
7 7 14 9
7 7 14 10
7 3 15 7
7 3 15 9
7 3 15 10
7 4 15 7
7 4 15 9
7 4 15 10
7 7 15 9
7 7 15 10
7 3 16 7
7 3 16 9
7 3 16 10
7 4 16 7
7 4 16 9
7 4 16 10
7 7 16 9
7 7 16 10
8 7 14 9
8 7 14 10
8 7 15 9
8 7 15 10
8 7 16 9
8 7 16 10
9 12 15 18
9 12 17 21
11 9 15 14
11 10 15 14
11 11 15 14
11 12 15 14
11 9 16 14
11 10 16 14
11 11 16 14
11 12 16 14
11 11 17 14
11 12 17 14
11 11 18 14
11 12 18 14
11 11 19 14
11 12 19 14
15 11 17 17
15 12 17 17
15 13 17 17
15 14 17 17
15 5 18 11
15 5 18 12
15 5 18 13
15 5 18 14
15 5 18 17
15 11 18 17
15 12 18 17
15 13 18 17
15 14 18 17
15 11 22 13
16 5 18 11
16 5 18 12
16 5 18 13
16 5 18 14
16 11 22 13
17 11 22 13
18 11 22 13
19 11 22 13
