12 24
011111111111111111111111
010111111111111111111111
011111111111111111111111
011111111111011111111111
011111111111111111111111
011111111111111111111111
011111111111111111111011
011111111111111001111011
000110111111111111111111
000110111111111111111111
000111111111111111111111
000000000111111111111110
2589
1 2 3 4
1 2 3 5
1 2 3 6
1 2 3 7
1 2 3 8
1 2 3 9
1 2 3 10
1 2 3 11
1 2 3 12
1 2 3 13
1 2 3 14
1 2 3 15
1 2 3 16
1 2 3 17
1 2 3 18
1 2 3 19
1 2 3 20
1 2 3 21
1 2 3 22
1 2 3 23
1 2 3 24
1 2 4 4
1 2 4 5
1 2 4 6
1 2 4 7
1 2 4 8
1 2 4 9
1 2 4 10
1 2 4 11
1 2 4 12
1 2 5 4
1 2 5 5
1 2 5 6
1 2 5 7
1 2 5 8
1 2 5 9
1 2 5 10
1 2 5 11
1 2 5 12
1 2 5 14
1 2 5 15
1 2 5 16
1 2 5 17
1 2 5 18
1 2 5 19
1 2 5 20
1 2 5 21
1 2 5 22
1 2 5 23
1 2 5 24
1 4 5 14
1 4 5 15
1 4 5 16
1 4 5 17
1 4 5 18
1 4 5 19
1 4 5 20
1 4 5 21
1 4 5 22
1 4 5 23
1 4 5 24
1 5 5 14
1 5 5 15
1 5 5 16
1 5 5 17
1 5 5 18
1 5 5 19
1 5 5 20
1 5 5 21
1 5 5 22
1 5 5 23
1 5 5 24
1 6 5 14
1 6 5 15
1 6 5 16
1 6 5 17
1 6 5 18
1 6 5 19
1 6 5 20
1 6 5 21
1 6 5 22
1 6 5 23
1 6 5 24
1 7 5 14
1 7 5 15
1 7 5 16
1 7 5 17
1 7 5 18
1 7 5 19
1 7 5 20
1 7 5 21
1 7 5 22
1 7 5 23
1 7 5 24
1 8 5 14
1 8 5 15
1 8 5 16
1 8 5 17
1 8 5 18
1 8 5 19
1 8 5 20
1 8 5 21
1 8 5 22
1 8 5 23
1 8 5 24
1 9 5 14
1 9 5 15
1 9 5 16
1 9 5 17
1 9 5 18
1 9 5 19
1 9 5 20
1 9 5 21
1 9 5 22
1 9 5 23
1 9 5 24
1 10 5 14
1 10 5 15
1 10 5 16
1 10 5 17
1 10 5 18
1 10 5 19
1 10 5 20
1 10 5 21
1 10 5 22
1 10 5 23
1 10 5 24
1 11 5 14
1 11 5 15
1 11 5 16
1 11 5 17
1 11 5 18
1 11 5 19
1 11 5 20
1 11 5 21
1 11 5 22
1 11 5 23
1 11 5 24
1 12 5 14
1 12 5 15
1 12 5 16
1 12 5 17
1 12 5 18
1 12 5 19
1 12 5 20
1 12 5 21
1 12 5 22
1 12 5 23
1 12 5 24
1 2 6 4
1 2 6 5
1 2 6 6
1 2 6 7
1 2 6 8
1 2 6 9
1 2 6 10
1 2 6 11
1 2 6 12
1 2 6 14
1 2 6 15
1 2 6 16
1 2 6 17
1 2 6 18
1 2 6 19
1 2 6 20
1 2 6 21
1 2 6 22
1 2 6 23
1 2 6 24
1 4 6 14
1 4 6 15
1 4 6 16
1 4 6 17
1 4 6 18
1 4 6 19
1 4 6 20
1 4 6 21
1 4 6 22
1 4 6 23
1 4 6 24
1 5 6 14
1 5 6 15
1 5 6 16
1 5 6 17
1 5 6 18
1 5 6 19
1 5 6 20
1 5 6 21
1 5 6 22
1 5 6 23
1 5 6 24
1 6 6 14
1 6 6 15
1 6 6 16
1 6 6 17
1 6 6 18
1 6 6 19
1 6 6 20
1 6 6 21
1 6 6 22
1 6 6 23
1 6 6 24
1 7 6 14
1 7 6 15
1 7 6 16
1 7 6 17
1 7 6 18
1 7 6 19
1 7 6 20
1 7 6 21
1 7 6 22
1 7 6 23
1 7 6 24
1 8 6 14
1 8 6 15
1 8 6 16
1 8 6 17
1 8 6 18
1 8 6 19
1 8 6 20
1 8 6 21
1 8 6 22
1 8 6 23
1 8 6 24
1 9 6 14
1 9 6 15
1 9 6 16
1 9 6 17
1 9 6 18
1 9 6 19
1 9 6 20
1 9 6 21
1 9 6 22
1 9 6 23
1 9 6 24
1 10 6 14
1 10 6 15
1 10 6 16
1 10 6 17
1 10 6 18
1 10 6 19
1 10 6 20
1 10 6 21
1 10 6 22
1 10 6 23
1 10 6 24
1 11 6 14
1 11 6 15
1 11 6 16
1 11 6 17
1 11 6 18
1 11 6 19
1 11 6 20
1 11 6 21
1 11 6 22
1 11 6 23
1 11 6 24
1 12 6 14
1 12 6 15
1 12 6 16
1 12 6 17
1 12 6 18
1 12 6 19
1 12 6 20
1 12 6 21
1 12 6 22
1 12 6 23
1 12 6 24
1 2 7 4
1 2 7 5
1 2 7 6
1 2 7 7
1 2 7 8
1 2 7 9
1 2 7 10
1 2 7 11
1 2 7 12
1 2 7 14
1 2 7 15
1 2 7 16
1 2 7 17
1 2 7 18
1 2 7 19
1 2 7 20
1 2 7 21
1 4 7 14
1 4 7 15
1 4 7 16
1 4 7 17
1 4 7 18
1 4 7 19
1 4 7 20
1 4 7 21
1 5 7 14
1 5 7 15
1 5 7 16
1 5 7 17
1 5 7 18
1 5 7 19
1 5 7 20
1 5 7 21
1 6 7 14
1 6 7 15
1 6 7 16
1 6 7 17
1 6 7 18
1 6 7 19
1 6 7 20
1 6 7 21
1 7 7 14
1 7 7 15
1 7 7 16
1 7 7 17
1 7 7 18
1 7 7 19
1 7 7 20
1 7 7 21
1 8 7 14
1 8 7 15
1 8 7 16
1 8 7 17
1 8 7 18
1 8 7 19
1 8 7 20
1 8 7 21
1 9 7 14
1 9 7 15
1 9 7 16
1 9 7 17
1 9 7 18
1 9 7 19
1 9 7 20
1 9 7 21
1 10 7 14
1 10 7 15
1 10 7 16
1 10 7 17
1 10 7 18
1 10 7 19
1 10 7 20
1 10 7 21
1 11 7 14
1 11 7 15
1 11 7 16
1 11 7 17
1 11 7 18
1 11 7 19
1 11 7 20
1 11 7 21
1 12 7 14
1 12 7 15
1 12 7 16
1 12 7 17
1 12 7 18
1 12 7 19
1 12 7 20
1 12 7 21
1 2 8 4
1 2 8 5
1 2 8 6
1 2 8 7
1 2 8 8
1 2 8 9
1 2 8 10
1 2 8 11
1 2 8 12
1 2 8 14
1 2 8 15
1 4 8 14
1 4 8 15
1 5 8 14
1 5 8 15
1 6 8 14
1 6 8 15
1 7 8 14
1 7 8 15
1 8 8 14
1 8 8 15
1 9 8 14
