19 16
0111111111111100
0101111111111111
1111111111111111
1111111111111111
1111111111111111
1001011111111111
1001011111111111
1111111111111111
1111111111101111
1101111111111111
1111111111111111
0101111111111111
0111111111111111
0101111111111111
0100001111111111
0100001111111111
0100001111111111
0100001111000010
0111111111111110
1988
1 2 3 4
1 2 3 5
1 2 3 6
1 2 3 7
1 2 3 8
1 2 3 9
1 2 3 10
1 2 3 11
1 2 3 12
1 2 3 13
1 2 3 14
1 2 4 4
1 2 4 5
1 2 4 6
1 2 4 7
1 2 4 8
1 2 4 9
1 2 4 10
1 2 4 11
1 2 4 12
1 2 4 13
1 2 4 14
1 2 5 4
1 2 5 5
1 2 5 6
1 2 5 7
1 2 5 8
1 2 5 9
1 2 5 10
1 2 5 11
1 2 5 12
1 2 5 13
1 2 5 14
1 4 8 6
1 4 8 7
1 4 8 8
1 4 8 9
1 4 8 10
1 4 8 11
1 4 8 12
1 4 8 13
1 4 8 14
1 4 9 6
1 4 9 7
1 4 9 8
1 4 9 9
1 4 9 10
1 4 9 11
1 4 10 6
1 4 10 7
1 4 10 8
1 4 10 9
1 4 10 10
1 4 10 11
1 4 10 13
1 4 10 14
1 6 10 13
1 6 10 14
1 7 10 13
1 7 10 14
1 8 10 13
1 8 10 14
1 9 10 13
1 9 10 14
1 10 10 13
1 10 10 14
1 11 10 13
1 11 10 14
1 4 11 6
1 4 11 7
1 4 11 8
1 4 11 9
1 4 11 10
1 4 11 11
1 4 11 13
1 4 11 14
1 6 11 13
1 6 11 14
1 7 11 13
1 7 11 14
1 8 11 13
1 8 11 14
1 9 11 13
1 9 11 14
1 10 11 13
1 10 11 14
1 11 11 13
1 11 11 14
1 4 12 6
1 4 12 7
1 4 12 8
1 4 12 9
1 4 12 10
1 4 12 11
1 4 12 13
1 4 12 14
1 6 12 13
1 6 12 14
1 7 12 13
1 7 12 14
1 8 12 13
1 8 12 14
1 9 12 13
1 9 12 14
1 10 12 13
1 10 12 14
1 11 12 13
1 11 12 14
1 4 13 6
1 4 13 7
1 4 13 8
1 4 13 9
1 4 13 10
1 4 13 11
1 4 13 13
1 4 13 14
1 6 13 13
1 6 13 14
1 7 13 13
1 7 13 14
1 8 13 13
1 8 13 14
1 9 13 13
1 9 13 14
1 10 13 13
1 10 13 14
1 11 13 13
1 11 13 14
1 4 14 6
1 4 14 7
1 4 14 8
1 4 14 9
1 4 14 10
1 4 14 11
1 4 14 13
1 4 14 14
1 6 14 13
1 6 14 14
1 7 14 13
1 7 14 14
1 8 14 13
1 8 14 14
1 9 14 13
1 9 14 14
1 10 14 13
1 10 14 14
1 11 14 13
1 11 14 14
1 7 15 13
1 7 15 14
1 8 15 13
1 8 15 14
1 9 15 13
1 9 15 14
1 10 15 13
1 10 15 14
1 11 15 13
1 11 15 14
1 7 16 13
1 7 16 14
1 8 16 13
1 8 16 14
1 9 16 13
1 9 16 14
1 10 16 13
1 10 16 14
1 11 16 13
1 11 16 14
1 7 17 13
1 7 17 14
1 8 17 13
1 8 17 14
1 9 17 13
1 9 17 14
1 10 17 13
1 10 17 14
1 11 17 13
1 11 17 14
2 4 8 6
2 4 8 7
2 4 8 8
2 4 8 9
2 4 8 10
2 4 8 11
2 4 8 12
2 4 8 13
2 4 8 14
2 4 8 15
2 4 8 16
2 4 9 6
2 4 9 7
2 4 9 8
2 4 9 9
2 4 9 10
2 4 9 11
2 4 10 6
2 4 10 7
2 4 10 8
2 4 10 9
2 4 10 10
2 4 10 11
2 4 10 13
2 4 10 14
2 4 10 15
2 4 10 16
2 6 10 13
2 6 10 14
2 6 10 15
2 6 10 16
2 7 10 13
2 7 10 14
2 7 10 15
2 7 10 16
2 8 10 13
2 8 10 14
2 8 10 15
2 8 10 16
2 9 10 13
2 9 10 14
2 9 10 15
2 9 10 16
2 10 10 13
2 10 10 14
2 10 10 15
2 10 10 16
2 11 10 13
2 11 10 14
2 11 10 15
2 11 10 16
2 4 11 6
2 4 11 7
2 4 11 8
2 4 11 9
2 4 11 10
2 4 11 11
2 4 11 13
2 4 11 14
2 4 11 15
2 4 11 16
2 6 11 13
2 6 11 14
2 6 11 15
2 6 11 16
2 7 11 13
2 7 11 14
2 7 11 15
2 7 11 16
2 8 11 13
2 8 11 14
2 8 11 15
2 8 11 16
2 9 11 13
2 9 11 14
2 9 11 15
2 9 11 16
2 10 11 13
2 10 11 14
2 10 11 15
2 10 11 16
2 11 11 13
2 11 11 14
2 11 11 15
2 11 11 16
2 4 12 6
2 4 12 7
2 4 12 8
2 4 12 9
2 4 12 10
2 4 12 11
2 4 12 13
2 4 12 14
2 4 12 15
2 4 12 16
2 6 12 13
2 6 12 14
2 6 12 15
2 6 12 16
2 7 12 13
2 7 12 14
2 7 12 15
2 7 12 16
2 8 12 13
2 8 12 14
2 8 12 15
2 8 12 16
2 9 12 13
2 9 12 14
2 9 12 15
2 9 12 16
2 10 12 13
2 10 12 14
2 10 12 15
2 10 12 16
2 11 12 13
2 11 12 14
2 11 12 15
2 11 12 16
2 4 13 6
2 4 13 7
2 4 13 8
2 4 13 9
2 4 13 10
2 4 13 11
2 4 13 13
2 4 13 14
2 4 13 15
2 4 13 16
2 6 13 13
2 6 13 14
2 6 13 15
2 6 13 16
2 7 13 13
2 7 13 14
2 7 13 15
2 7 13 16
2 8 13 13
2 8 13 14
2 8 13 15
2 8 13 16
2 9 13 13
2 9 13 14
2 9 13 15
2 9 13 16
2 10 13 13
2 10 13 14
2 10 13 15
2 10 13 16
2 11 13 13
2 11 13 14
2 11 13 15
2 11 13 16
2 4 14 6
2 4 14 7
2 4 14 8
2 4 14 9
2 4 14 10
2 4 14 11
2 4 14 13
2 4 14 14
2 4 14 15
2 4 14 16
2 6 14 13
2 6 14 14
2 6 14 15
2 6 14 16
2 7 14 13
2 7 14 14
2 7 14 15
2 7 14 16
2 8 14 13
2 8 14 14
2 8 14 15
2 8 14 16
2 9 14 13
2 9 14 14
2 9 14 15
2 9 14 16
2 10 14 13
2 10 14 14
2 10 14 15
2 10 14 16
2 11 14 13
2 11 14 14
2 11 14 15
2 11 14 16
2 7 15 13
2 7 15 14
2 7 15 15
2 7 15 16
2 8 15 13
2 8 15 14
2 8 15 15
2 8 15 16
2 9 15 13
2 9 15 14
