16 19
0111100000000000000
0101111111111110000
0111111111111111100
1111111111111110100
1111111111111111111
1111111111111111101
1111111111111110001
1111111110001110001
1111111111111110001
1111111111111111111
1111111111111110001
1011111111111111111
1111110111011011011
1000011111111011011
1000010111111111111
1111111111111111111
1078
1 2 3 4
1 2 3 5
1 2 4 4
1 2 4 5
1 2 5 4
1 2 5 5
1 2 6 4
1 2 6 5
1 2 7 4
1 2 7 5
1 2 8 4
1 2 8 5
1 2 9 4
1 2 9 5
1 2 10 4
1 2 10 5
1 2 11 4
1 2 11 5
2 4 9 13
2 4 9 14
2 4 9 15
2 5 9 13
2 5 9 14
2 5 9 15
2 6 9 13
2 6 9 14
2 6 9 15
2 7 9 13
2 7 9 14
2 7 9 15
2 8 9 13
2 8 9 14
2 8 9 15
2 9 9 13
2 9 9 14
2 9 9 15
2 4 10 13
2 4 10 14
2 4 10 15
2 5 10 13
2 5 10 14
2 5 10 15
2 6 10 13
2 6 10 14
2 6 10 15
2 7 10 13
2 7 10 14
2 7 10 15
2 8 10 13
2 8 10 14
2 8 10 15
2 9 10 13
2 9 10 14
2 9 10 15
2 4 11 13
2 4 11 14
2 4 11 15
2 5 11 13
2 5 11 14
2 5 11 15
2 6 11 13
2 6 11 14
2 6 11 15
2 7 11 13
2 7 11 14
2 7 11 15
2 8 11 13
2 8 11 14
2 8 11 15
2 9 11 13
2 9 11 14
2 9 11 15
2 4 12 13
2 4 12 14
2 4 12 15
2 5 12 13
2 5 12 14
2 5 12 15
2 6 12 13
2 6 12 14
2 6 12 15
2 7 12 13
2 7 12 14
2 7 12 15
2 8 12 13
2 8 12 14
2 8 12 15
2 9 12 13
2 9 12 14
2 9 12 15
2 6 14 8
2 6 14 9
2 6 14 13
2 8 14 13
2 9 14 13
2 8 15 13
2 8 15 15
2 9 15 13
2 9 15 15
2 13 15 15
2 6 16 8
2 6 16 9
2 6 16 13
2 6 16 15
2 8 16 13
2 8 16 15
2 9 16 13
2 9 16 15
2 13 16 15
3 2 5 17
3 3 5 17
3 4 5 17
3 5 5 17
3 6 5 17
3 7 5 17
3 8 5 17
3 9 5 17
3 10 5 17
3 11 5 17
3 12 5 17
3 13 5 17
3 14 5 17
3 15 5 17
3 2 6 17
3 3 6 17
3 4 6 17
3 5 6 17
3 6 6 17
3 7 6 17
3 8 6 17
3 9 6 17
3 10 6 17
3 11 6 17
3 12 6 17
3 13 6 17
3 14 6 17
3 15 6 17
3 2 9 13
3 2 9 14
3 2 9 15
3 3 9 13
3 3 9 14
3 3 9 15
3 4 9 13
3 4 9 14
3 4 9 15
3 5 9 13
3 5 9 14
3 5 9 15
3 6 9 13
