25 24
011110000000000000000000
010110000000000000000000
111111111111111111100000
111111111111111111111111
110111111111111111100001
111111110010000010100001
110110010010000010100001
110110010010000010100001
110110010010000010100001
110110010010000010100001
111111111111111111100001
011111110010000010100001
011111111111111111111111
010110110000000010000000
010110110000000010000000
011111110000000010000000
000110100000000010000000
000111100000000010000000
000110000000000010000000
000110000001111111111111
000110000001000010000001
000111111111111110000001
000000000001000000000001
000000000001000000000001
000000000001111111111111
276
1 2 3 4
1 2 3 5
1 2 4 4
1 2 4 5
1 2 6 4
1 2 6 5
1 2 11 4
1 2 11 5
1 2 12 4
1 2 12 5
1 2 13 4
1 2 13 5
1 2 16 4
1 2 16 5
3 1 6 4
3 1 6 5
3 1 6 6
3 1 6 7
3 1 6 8
3 2 6 4
3 2 6 5
3 2 6 6
3 2 6 7
3 2 6 8
3 1 11 4
3 1 11 5
3 1 11 8
3 1 11 11
3 1 11 17
3 1 11 19
3 2 11 4
3 2 11 5
3 2 11 8
3 2 11 11
3 2 11 17
3 2 11 19
3 4 11 8
3 4 11 11
3 4 11 17
3 4 11 19
3 5 11 8
3 5 11 11
3 5 11 17
3 5 11 19
3 8 11 11
3 8 11 17
3 8 11 19
3 11 11 17
3 11 11 19
3 17 11 19
3 2 12 4
3 2 12 5
3 2 12 8
3 4 12 8
3 5 12 8
3 2 13 4
3 2 13 5
3 2 13 8
3 2 13 11
3 2 13 17
3 2 13 19
3 4 13 8
3 4 13 11
3 4 13 17
3 4 13 19
3 5 13 8
3 5 13 11
3 5 13 17
3 5 13 19
3 8 13 11
3 8 13 17
3 8 13 19
3 11 13 17
3 11 13 19
3 17 13 19
3 2 16 4
3 2 16 5
3 2 16 8
3 4 16 8
3 5 16 8
3 4 22 17
3 5 22 17
4 1 6 4
4 1 6 5
4 1 6 6
4 1 6 7
4 1 6 8
4 2 6 4
4 2 6 5
4 2 6 6
4 2 6 7
4 2 6 8
4 1 11 4
4 1 11 5
4 1 11 8
4 1 11 11
4 1 11 17
4 1 11 19
4 2 11 4
4 2 11 5
4 2 11 8
4 2 11 11
4 2 11 17
4 2 11 19
4 4 11 8
4 4 11 11
4 4 11 17
4 4 11 19
4 5 11 8
4 5 11 11
4 5 11 17
4 5 11 19
4 8 11 11
4 8 11 17
4 8 11 19
4 11 11 17
4 11 11 19
4 17 11 19
4 2 12 4
4 2 12 5
4 2 12 8
4 4 12 8
4 5 12 8
4 2 13 4
4 2 13 5
4 2 13 8
4 2 13 11
4 2 13 17
4 2 13 19
4 2 13 24
4 4 13 8
4 4 13 11
4 4 13 17
4 4 13 19
4 4 13 24
4 5 13 8
4 5 13 11
4 5 13 17
4 5 13 19
4 5 13 24
4 8 13 11
4 8 13 17
4 8 13 19
4 8 13 24
4 11 13 17
4 11 13 19
4 11 13 24
4 17 13 19
4 17 13 24
4 19 13 24
4 2 16 4
4 2 16 5
4 2 16 8
4 4 16 8
4 5 16 8
4 4 22 17
4 5 22 17
5 4 11 8
5 4 11 11
5 4 11 17
5 4 11 19
5 5 11 8
5 5 11 11
5 5 11 17
5 5 11 19
5 8 11 11
5 8 11 17
5 8 11 19
5 11 11 17
5 11 11 19
5 17 11 19
5 4 12 8
5 5 12 8
5 4 13 8
5 4 13 11
5 4 13 17
5 4 13 19
5 5 13 8
5 5 13 11
5 5 13 17
5 5 13 19
5 8 13 11
5 8 13 17
5 8 13 19
5 11 13 17
5 11 13 19
5 17 13 19
5 4 16 8
5 5 16 8
5 4 22 17
5 5 22 17
6 1 11 4
6 1 11 5
6 1 11 8
6 2 11 4
6 2 11 5
6 2 11 8
6 4 11 8
6 5 11 8
6 2 12 4
6 2 12 5
6 2 12 8
6 4 12 8
6 5 12 8
6 2 13 4
6 2 13 5
6 2 13 8
6 4 13 8
6 5 13 8
6 2 16 4
6 2 16 5
6 2 16 8
6 4 16 8
6 5 16 8
11 2 13 11
11 2 13 17
11 2 13 19
11 3 13 11
11 3 13 17
11 3 13 19
11 4 13 11
11 4 13 17
11 4 13 19
11 5 13 11
11 5 13 17
11 5 13 19
11 6 13 11
11 6 13 17
11 6 13 19
11 7 13 11
11 7 13 17
11 7 13 19
11 8 13 11
11 8 13 17
11 8 13 19
11 11 13 17
11 11 13 19
11 17 13 19
11 2 16 4
11 2 16 5
11 2 16 7
11 2 16 8
11 4 16 7
11 4 16 8
11 5 16 7
11 5 16 8
11 4 18 7
11 5 18 7
11 4 22 17
11 5 22 17
12 2 16 4
12 2 16 5
12 2 16 7
12 2 16 8
12 4 16 7
12 4 16 8
12 5 16 7
12 5 16 8
12 4 18 7
12 5 18 7
13 2 16 4
13 2 16 5
13 2 16 7
13 2 16 8
13 4 16 7
13 4 16 8
13 5 16 7
13 5 16 8
13 4 18 7
13 5 18 7
13 4 22 17
13 5 22 17
16 4 18 7
16 5 18 7
20 12 22 17
20 12 25 24
