24 15
001111111111111
001111100000001
001000100000001
001000100000001
001111100000001
001001111110001
001001000010001
001001000010001
111111111111111
101001001110011
111111111110011
111111111111111
101001011010011
101111111111111
100001011010010
100001011010010
100001011010010
100001011010010
100001011010010
100001111110010
100001111111110
100000011000000
111111111000000
111111110000000
150
1 3 5 7
1 3 9 15
1 3 12 15
1 3 14 15
2 3 5 7
5 3 9 6
5 3 11 6
5 3 12 6
5 3 14 6
6 6 9 11
6 6 11 11
6 6 12 11
6 6 14 11
6 6 20 11
6 6 21 11
9 1 11 3
9 1 11 6
9 1 11 9
9 1 11 10
9 1 11 11
9 3 11 6
9 3 11 9
9 3 11 10
9 3 11 11
9 6 11 9
9 6 11 10
9 6 11 11
9 1 12 3
9 1 12 6
9 1 12 9
9 1 12 10
9 1 12 11
9 1 12 14
9 1 12 15
9 3 12 6
9 3 12 9
9 3 12 10
9 3 12 11
9 3 12 14
9 3 12 15
9 6 12 9
9 6 12 10
9 6 12 11
9 6 12 14
9 6 12 15
9 9 12 14
9 9 12 15
9 10 12 14
9 10 12 15
9 11 12 14
9 11 12 15
9 3 14 6
9 3 14 9
9 3 14 11
9 3 14 14
9 3 14 15
9 6 14 9
9 6 14 11
9 6 14 14
9 6 14 15
9 9 14 11
9 9 14 14
9 9 14 15
9 11 14 14
9 11 14 15
9 6 20 9
9 6 20 11
9 9 20 11
9 6 21 9
9 6 21 11
9 6 21 14
9 9 21 11
9 9 21 14
9 11 21 14
9 1 23 9
10 9 14 11
10 9 20 11
10 9 21 11
11 3 14 6
11 3 14 8
11 3 14 9
11 3 14 11
11 6 14 8
11 6 14 9
11 6 14 11
11 8 14 11
11 9 14 11
11 6 20 8
11 6 20 9
11 6 20 11
11 8 20 11
11 9 20 11
11 6 21 8
11 6 21 9
11 6 21 11
11 8 21 11
11 9 21 11
11 1 23 8
11 1 23 9
11 1 24 8
12 3 14 6
12 3 14 8
12 3 14 9
12 3 14 11
12 3 14 14
12 3 14 15
12 6 14 8
12 6 14 9
12 6 14 11
12 6 14 14
12 6 14 15
12 8 14 11
12 8 14 14
12 8 14 15
12 9 14 11
12 9 14 14
12 9 14 15
12 11 14 14
12 11 14 15
12 6 20 8
12 6 20 9
12 6 20 11
12 8 20 11
12 9 20 11
12 6 21 8
12 6 21 9
12 6 21 11
12 6 21 14
12 8 21 11
12 8 21 14
12 9 21 11
12 9 21 14
12 11 21 14
12 1 23 8
12 1 23 9
12 1 24 8
14 6 20 8
14 6 20 9
14 6 20 11
14 8 20 11
14 9 20 11
14 6 21 8
14 6 21 9
14 6 21 11
14 6 21 14
14 8 21 11
14 8 21 14
14 9 21 11
14 9 21 14
14 11 21 14
