18 15
011111111110000
010111111010000
011111111010000
010100111111100
111100111110100
110111111111100
111111111111100
110110101011000
110110101011000
110111111011000
110110111011000
111111111011000
110110111111000
111111110001000
100111110001000
100111110001000
100111111111000
111100000000000
245
1 2 3 4
1 2 3 5
1 2 3 6
1 2 3 7
1 2 3 8
1 2 3 9
1 7 4 11
1 8 4 11
1 9 4 11
1 2 5 4
1 7 5 11
1 8 5 11
1 9 5 11
1 4 6 7
1 4 6 8
1 4 6 9
1 4 6 11
1 7 6 11
1 8 6 11
1 9 6 11
1 2 7 4
1 2 7 7
1 2 7 8
1 2 7 9
1 2 7 11
1 4 7 7
1 4 7 8
1 4 7 9
1 4 7 11
1 7 7 11
1 8 7 11
1 9 7 11
1 4 10 7
1 4 10 9
1 7 10 9
1 7 11 9
1 2 12 4
1 2 12 7
1 2 12 9
1 4 12 7
1 4 12 9
1 7 12 9
1 7 13 9
1 7 13 11
1 9 13 11
1 2 14 4
1 2 14 7
1 4 14 7
1 4 15 7
1 4 16 7
1 4 17 7
2 4 6 7
2 4 6 8
2 4 6 9
2 4 7 7
2 4 7 8
2 4 7 9
2 4 10 7
2 4 10 9
2 7 10 9
2 7 11 9
2 4 12 7
2 4 12 9
2 7 12 9
2 7 13 9
2 4 14 7
2 4 15 7
2 4 16 7
2 4 17 7
3 2 5 4
3 4 6 7
3 4 6 8
3 4 6 9
3 2 7 4
3 2 7 7
3 2 7 8
3 2 7 9
3 4 7 7
3 4 7 8
3 4 7 9
3 4 10 7
3 4 10 9
3 7 10 9
3 7 11 9
3 2 12 4
3 2 12 7
3 2 12 9
3 4 12 7
3 4 12 9
3 7 12 9
3 7 13 9
3 2 14 4
3 2 14 7
3 4 14 7
3 4 15 7
3 4 16 7
3 4 17 7
4 7 6 13
4 8 6 13
4 9 6 13
4 10 6 13
4 11 6 13
4 7 7 13
4 8 7 13
4 9 7 13
4 10 7 13
4 11 7 13
4 7 10 9
4 7 11 9
4 7 12 9
4 7 13 9
4 7 13 11
4 9 13 11
5 1 7 4
5 2 7 4
5 7 10 9
5 7 11 9
5 1 12 4
5 2 12 4
5 7 12 9
5 7 13 9
5 7 13 11
5 9 13 11
5 1 14 4
5 2 14 4
5 1 18 4
6 4 10 7
6 4 10 9
6 5 10 7
6 5 10 9
6 7 10 9
6 7 11 9
6 4 12 7
6 4 12 9
6 5 12 7
6 5 12 9
6 7 12 9
6 7 13 9
6 7 13 11
6 7 13 12
6 9 13 11
6 9 13 12
6 4 14 7
6 5 14 7
6 4 15 7
6 5 15 7
6 4 16 7
6 5 16 7
6 4 17 7
6 4 17 12
6 5 17 7
6 5 17 12
6 7 17 12
7 4 10 7
7 4 10 9
7 5 10 7
7 5 10 9
7 7 10 9
7 7 11 9
7 1 12 4
7 1 12 5
7 1 12 7
7 1 12 9
7 2 12 4
7 2 12 5
7 2 12 7
7 2 12 9
7 4 12 7
7 4 12 9
7 5 12 7
7 5 12 9
7 7 12 9
7 7 13 9
7 7 13 11
7 7 13 12
7 9 13 11
7 9 13 12
7 1 14 4
7 1 14 5
7 1 14 7
7 2 14 4
7 2 14 5
7 2 14 7
7 4 14 7
7 5 14 7
7 4 15 7
7 5 15 7
7 4 16 7
7 5 16 7
7 4 17 7
7 4 17 12
7 5 17 7
7 5 17 12
7 7 17 12
7 1 18 4
10 4 12 7
10 4 12 8
10 4 12 9
10 5 12 7
10 5 12 8
10 5 12 9
10 4 14 7
10 4 14 8
10 5 14 7
10 5 14 8
10 4 15 7
10 4 15 8
10 5 15 7
10 5 15 8
10 4 16 7
10 4 16 8
10 5 16 7
10 5 16 8
10 4 17 7
10 4 17 8
10 5 17 7
10 5 17 8
12 1 14 4
12 1 14 5
12 1 14 7
12 1 14 8
12 2 14 4
12 2 14 5
12 2 14 7
12 2 14 8
12 4 14 7
12 4 14 8
12 5 14 7
12 5 14 8
12 4 15 7
12 4 15 8
12 5 15 7
12 5 15 8
12 4 16 7
12 4 16 8
12 5 16 7
12 5 16 8
12 4 17 7
12 4 17 8
12 5 17 7
12 5 17 8
12 1 18 4
13 7 17 12
13 8 17 12
14 1 18 4
