15 21
011111111111011111000
010100000011010001000
111111111011010001000
110100001011010001000
111111101011010001000
110100101011010001000
110100101011010001000
111111111111110001000
011111111111111111100
010100111001010000100
011111111001010000100
000100110001010000100
000100110001010000100
000111111111010000100
000000111111111111100
80
1 2 3 4
1 2 5 4
1 2 8 4
1 2 8 11
1 2 8 12
1 4 8 11
1 4 8 12
1 2 9 4
1 2 9 11
1 2 9 12
1 4 9 11
1 4 9 12
1 14 9 18
1 2 11 4
1 4 14 12
3 1 5 4
3 2 5 4
3 1 8 4
3 1 8 9
3 2 8 4
3 2 8 9
3 4 8 9
3 2 9 4
3 2 9 9
3 4 9 9
3 2 11 4
3 2 11 9
3 4 11 9
5 1 8 4
5 1 8 7
5 2 8 4
5 2 8 7
5 4 8 7
5 2 9 4
5 2 9 7
5 4 9 7
5 2 11 4
5 2 11 7
5 4 11 7
5 4 14 7
8 2 11 4
8 2 11 7
8 2 11 8
8 2 11 9
8 4 11 7
8 4 11 8
8 4 11 9
8 4 14 7
8 4 14 8
8 4 14 12
8 7 14 12
8 8 14 12
8 7 15 12
8 7 15 14
8 8 15 12
8 8 15 14
8 12 15 14
9 2 11 4
9 2 11 7
9 2 11 8
9 2 11 9
9 4 11 7
9 4 11 8
9 4 11 9
9 4 14 7
9 4 14 8
9 4 14 12
9 7 14 12
9 8 14 12
9 7 15 12
9 7 15 14
9 7 15 19
9 8 15 12
9 8 15 14
9 8 15 19
9 12 15 14
9 12 15 19
9 14 15 19
11 4 14 7
11 4 14 8
