10 10
0111000000
0101011111
0111110011
1111111111
1111011111
1011111111
1111111101
1111001001
0001111111
0000000000
48
1 2 3 4
1 2 4 4
1 2 5 4
2 6 4 9
2 6 4 10
2 6 5 9
2 6 5 10
2 6 6 9
2 6 6 10
3 3 6 6
3 4 6 6
3 3 7 6
3 4 7 6
4 3 6 6
4 3 6 7
4 3 6 8
4 3 6 9
4 3 6 10
4 4 6 6
4 4 6 7
4 4 6 8
4 4 6 9
4 4 6 10
4 1 7 3
4 1 7 4
4 1 7 6
4 1 7 7
4 1 7 8
4 3 7 6
4 3 7 7
4 3 7 8
4 4 7 6
4 4 7 7
4 4 7 8
4 1 8 3
4 1 8 4
4 4 9 7
4 4 9 10
4 7 9 10
5 1 7 3
5 1 7 4
5 1 8 3
5 1 8 4
5 7 9 10
6 4 9 7
6 4 9 10
6 7 9 10
7 4 9 7
