8 8
01111100
01011100
01111111
01111111
01110111
01111111
01111111
01111111
73
1 2 3 4
1 2 3 5
1 2 3 6
1 2 4 4
1 2 4 5
1 2 4 6
1 2 5 4
1 2 6 4
1 2 6 6
1 4 6 6
1 2 7 4
1 2 7 6
1 4 7 6
1 2 8 4
1 2 8 6
1 4 8 6
2 4 6 6
2 4 7 6
2 4 8 6
3 2 6 6
3 2 6 7
3 2 6 8
3 3 6 6
3 3 6 7
3 3 6 8
3 4 6 6
3 4 6 7
3 4 6 8
3 2 7 6
3 2 7 7
3 2 7 8
3 3 7 6
3 3 7 7
3 3 7 8
3 4 7 6
3 4 7 7
3 4 7 8
3 2 8 6
3 2 8 7
3 2 8 8
3 3 8 6
3 3 8 7
3 3 8 8
3 4 8 6
3 4 8 7
3 4 8 8
4 2 6 6
4 2 6 7
4 2 6 8
4 3 6 6
4 3 6 7
4 3 6 8
4 4 6 6
4 4 6 7
4 4 6 8
4 2 7 6
4 2 7 7
4 2 7 8
4 3 7 6
4 3 7 7
4 3 7 8
4 4 7 6
4 4 7 7
4 4 7 8
4 2 8 6
4 2 8 7
4 2 8 8
4 3 8 6
4 3 8 7
4 3 8 8
4 4 8 6
4 4 8 7
4 4 8 8
