9 9
011111100
010111100
011111111
011111111
011111111
111111111
111111101
111111111
111111111
78
1 2 3 4
1 2 3 5
1 2 3 6
1 2 3 7
1 2 4 4
1 2 4 5
1 2 4 6
1 2 4 7
1 2 5 4
1 2 5 5
1 2 5 6
1 2 5 7
1 2 6 4
1 2 6 5
1 2 6 6
1 2 6 7
1 2 7 4
1 2 7 5
1 2 7 6
1 2 7 7
1 2 8 4
1 2 8 5
1 2 8 6
1 2 8 7
1 2 9 4
1 2 9 5
1 2 9 6
1 2 9 7
3 2 8 9
3 3 8 9
3 4 8 9
3 5 8 9
3 6 8 9
3 7 8 9
3 2 9 9
3 3 9 9
3 4 9 9
3 5 9 9
3 6 9 9
3 7 9 9
4 2 8 9
4 3 8 9
4 4 8 9
4 5 8 9
4 6 8 9
4 7 8 9
4 2 9 9
4 3 9 9
4 4 9 9
4 5 9 9
4 6 9 9
4 7 9 9
5 2 8 9
5 3 8 9
5 4 8 9
5 5 8 9
5 6 8 9
5 7 8 9
5 2 9 9
5 3 9 9
5 4 9 9
5 5 9 9
5 6 9 9
5 7 9 9
6 1 8 9
6 2 8 9
6 3 8 9
6 4 8 9
6 5 8 9
6 6 8 9
6 7 8 9
6 1 9 9
6 2 9 9
6 3 9 9
6 4 9 9
6 5 9 9
6 6 9 9
6 7 9 9
