10 10
0011111100
0011111111
0011101101
0011101101
1111111111
1000111111
1111111111
1000111111
1000010011
1111111111
58
1 3 5 7
1 3 5 8
1 4 5 7
1 4 5 8
1 5 5 7
1 5 5 8
1 5 6 7
1 5 6 8
1 5 7 7
1 5 7 8
1 5 8 7
1 5 8 8
2 3 5 7
2 3 5 8
2 3 5 10
2 4 5 7
2 4 5 8
2 4 5 10
2 5 5 7
2 5 5 8
2 5 5 10
2 7 5 10
2 8 5 10
2 5 6 7
2 5 6 8
2 5 6 10
2 7 6 10
2 8 6 10
2 5 7 7
2 5 7 8
2 5 7 10
2 7 7 10
2 8 7 10
2 5 8 7
2 5 8 8
2 5 8 10
2 7 8 10
2 8 8 10
5 1 7 5
5 1 7 6
5 1 7 7
5 1 7 8
5 1 7 9
5 1 7 10
5 1 10 6
5 1 10 9
5 1 10 10
5 6 10 9
5 6 10 10
6 6 10 9
6 6 10 10
7 1 10 6
7 1 10 9
7 1 10 10
7 6 10 9
7 6 10 10
8 6 10 9
8 6 10 10
