16 16
0111000000000000
0101000111100000
0111111111100000
0101111111111110
0111111111111111
0101100101100011
0101100111111111
0111111111111111
0111100011000011
0111111111111011
0001100010001011
0001111111111111
0001000111111111
0001000100001100
0001000111111100
0001111111111000
142
1 2 3 4
1 2 5 4
1 2 8 4
1 2 9 4
1 2 10 4
2 8 7 10
2 8 7 11
2 8 8 10
2 8 8 11
3 2 5 4
3 2 5 5
3 2 5 6
3 2 5 7
3 2 5 8
3 2 5 9
3 2 5 10
3 2 5 11
3 8 7 10
3 8 7 11
3 2 8 4
3 2 8 5
3 2 8 8
3 2 8 10
3 2 8 11
3 4 8 8
3 4 8 10
3 4 8 11
3 5 8 8
3 5 8 10
3 5 8 11
3 8 8 10
3 8 8 11
3 2 9 4
3 2 9 5
3 2 10 4
3 2 10 5
3 2 10 10
3 4 10 10
3 5 10 10
4 8 7 10
4 8 7 11
4 8 7 15
4 10 7 15
4 11 7 15
4 4 8 8
4 4 8 10
4 4 8 11
4 4 8 15
4 5 8 8
4 5 8 10
4 5 8 11
4 5 8 15
4 8 8 10
4 8 8 11
4 8 8 15
4 10 8 15
4 11 8 15
4 4 10 10
4 5 10 10
4 4 12 15
4 5 12 15
5 8 7 10
5 8 7 11
5 8 7 15
5 8 7 16
5 10 7 15
5 10 7 16
5 11 7 15
5 11 7 16
5 2 8 4
5 2 8 5
5 2 8 8
5 2 8 10
5 2 8 11
5 2 8 15
5 2 8 16
5 4 8 8
5 4 8 10
5 4 8 11
5 4 8 15
5 4 8 16
5 5 8 8
5 5 8 10
5 5 8 11
5 5 8 15
5 5 8 16
5 8 8 10
5 8 8 11
5 8 8 15
5 8 8 16
5 10 8 15
5 10 8 16
5 11 8 15
5 11 8 16
5 2 9 4
5 2 9 5
5 2 10 4
5 2 10 5
5 2 10 10
5 4 10 10
5 5 10 10
5 4 12 15
5 4 12 16
5 5 12 15
5 5 12 16
7 9 12 15
7 9 12 16
7 9 13 15
7 9 13 16
8 2 10 9
8 2 10 10
8 3 10 9
8 3 10 10
8 4 10 9
8 4 10 10
8 5 10 9
8 5 10 10
8 4 12 9
8 4 12 15
8 4 12 16
8 5 12 9
8 5 12 15
8 5 12 16
8 9 12 15
8 9 12 16
8 9 13 15
8 9 13 16
10 4 12 9
10 4 12 13
10 5 12 9
10 5 12 13
10 9 12 13
10 9 13 13
10 4 16 13
12 8 15 13
12 8 15 14
12 4 16 8
12 4 16 13
12 8 16 13
13 8 15 13
13 8 15 14
13 8 16 13
