19 15
011111111110000
010111111110000
011111111110000
111110100111111
110110100110001
111111111110001
000100101111111
000100101000000
000100101111000
000100101001000
000100101001000
000100101001000
000111101001000
000000101001000
111111111111100
100000101001100
111111111111100
000000111111000
000000000000000
72
1 2 3 4
1 2 3 5
1 2 3 6
1 2 3 7
1 2 3 8
1 2 3 9
1 2 3 10
1 2 3 11
1 2 4 4
1 2 4 5
1 2 6 4
1 2 6 5
1 2 6 7
1 2 6 10
1 2 6 11
1 4 6 7
1 4 6 10
1 4 6 11
1 5 6 7
1 5 6 10
1 5 6 11
1 7 6 10
1 7 6 11
1 4 13 7
2 4 6 7
2 4 6 10
2 4 6 11
2 5 6 7
2 5 6 10
2 5 6 11
2 7 6 10
2 7 6 11
2 4 13 7
3 2 6 4
3 2 6 5
3 2 6 7
3 2 6 10
3 2 6 11
3 4 6 7
3 4 6 10
3 4 6 11
3 5 6 7
3 5 6 10
3 5 6 11
3 7 6 10
3 7 6 11
3 4 13 7
4 1 6 4
4 1 6 5
4 2 6 4
4 2 6 5
4 10 7 15
4 11 7 15
6 4 13 7
6 7 15 9
6 7 17 9
6 7 18 9
9 9 15 12
9 9 17 12
9 9 18 12
15 1 17 7
15 1 17 9
15 1 17 12
15 1 17 13
15 7 17 9
15 7 17 12
15 7 17 13
15 9 17 12
15 9 17 13
15 7 18 9
15 7 18 12
15 9 18 12
