12 15
011100000001111
010111111111101
011111111101101
011111111111101
011111111111111
011111111111101
111111111111111
111101111101111
111111111111111
011101111101111
011111111111100
001111111111100
616
1 2 3 4
1 2 4 4
1 2 5 4
1 12 5 15
1 13 5 15
1 2 6 4
1 2 7 4
1 12 7 15
1 13 7 15
1 2 8 4
1 12 8 15
1 13 8 15
1 2 9 4
1 12 9 15
1 13 9 15
1 2 10 4
1 12 10 15
1 13 10 15
1 2 11 4
2 4 4 12
2 4 4 13
2 5 4 12
2 5 4 13
2 6 4 12
2 6 4 13
2 7 4 12
2 7 4 13
2 8 4 12
2 8 4 13
2 9 4 12
2 9 4 13
2 10 4 12
2 10 4 13
2 4 5 12
2 4 5 13
2 5 5 12
2 5 5 13
2 6 5 12
2 6 5 13
2 7 5 12
2 7 5 13
2 8 5 12
2 8 5 13
2 9 5 12
2 9 5 13
2 10 5 12
2 10 5 13
2 4 6 12
2 4 6 13
2 5 6 12
2 5 6 13
2 6 6 12
2 6 6 13
2 7 6 12
2 7 6 13
2 8 6 12
2 8 6 13
2 9 6 12
2 9 6 13
2 10 6 12
2 10 6 13
2 4 7 12
2 4 7 13
2 5 7 12
2 5 7 13
2 6 7 12
2 6 7 13
2 7 7 12
2 7 7 13
2 8 7 12
2 8 7 13
2 9 7 12
2 9 7 13
2 10 7 12
2 10 7 13
2 4 9 6
2 4 9 7
2 4 9 8
2 4 9 9
2 4 9 10
2 4 9 12
2 4 9 13
2 6 9 12
2 6 9 13
2 7 9 12
2 7 9 13
2 8 9 12
2 8 9 13
2 9 9 12
2 9 9 13
2 10 9 12
2 10 9 13
2 4 11 6
2 4 11 7
2 4 11 8
2 4 11 9
2 4 11 10
2 4 11 12
2 4 11 13
2 6 11 12
2 6 11 13
2 7 11 12
2 7 11 13
2 8 11 12
2 8 11 13
2 9 11 12
2 9 11 13
2 10 11 12
2 10 11 13
2 4 12 6
2 4 12 7
2 4 12 8
2 4 12 9
2 4 12 10
2 4 12 12
2 4 12 13
2 6 12 12
2 6 12 13
2 7 12 12
2 7 12 13
2 8 12 12
2 8 12 13
2 9 12 12
2 9 12 13
2 10 12 12
2 10 12 13
3 2 9 6
3 2 9 7
3 2 9 8
3 2 9 9
3 2 9 10
3 3 9 6
3 3 9 7
3 3 9 8
3 3 9 9
3 3 9 10
3 4 9 6
3 4 9 7
3 4 9 8
3 4 9 9
3 4 9 10
3 2 11 6
3 2 11 7
3 2 11 8
3 2 11 9
3 2 11 10
3 3 11 6
3 3 11 7
3 3 11 8
3 3 11 9
3 3 11 10
3 4 11 6
3 4 11 7
3 4 11 8
3 4 11 9
3 4 11 10
3 3 12 6
3 3 12 7
3 3 12 8
3 3 12 9
3 3 12 10
3 4 12 6
3 4 12 7
3 4 12 8
3 4 12 9
3 4 12 10
4 2 9 6
4 2 9 7
4 2 9 8
4 2 9 9
4 2 9 10
4 2 9 12
4 2 9 13
4 3 9 6
4 3 9 7
4 3 9 8
4 3 9 9
4 3 9 10
4 3 9 12
4 3 9 13
4 4 9 6
4 4 9 7
4 4 9 8
4 4 9 9
4 4 9 10
4 4 9 12
4 4 9 13
4 6 9 12
4 6 9 13
4 7 9 12
4 7 9 13
4 8 9 12
4 8 9 13
4 9 9 12
4 9 9 13
4 10 9 12
4 10 9 13
4 2 11 6
4 2 11 7
4 2 11 8
4 2 11 9
4 2 11 10
4 2 11 12
4 2 11 13
4 3 11 6
4 3 11 7
4 3 11 8
4 3 11 9
4 3 11 10
4 3 11 12
4 3 11 13
4 4 11 6
4 4 11 7
4 4 11 8
4 4 11 9
4 4 11 10
4 4 11 12
4 4 11 13
4 6 11 12
4 6 11 13
4 7 11 12
4 7 11 13
4 8 11 12
4 8 11 13
4 9 11 12
4 9 11 13
4 10 11 12
4 10 11 13
4 3 12 6
4 3 12 7
4 3 12 8
4 3 12 9
4 3 12 10
4 3 12 12
4 3 12 13
4 4 12 6
4 4 12 7
4 4 12 8
4 4 12 9
4 4 12 10
4 4 12 12
4 4 12 13
4 6 12 12
4 6 12 13
4 7 12 12
4 7 12 13
4 8 12 12
4 8 12 13
4 9 12 12
4 9 12 13
4 10 12 12
4 10 12 13
5 2 7 15
5 3 7 15
5 4 7 15
5 5 7 15
5 6 7 15
5 7 7 15
5 8 7 15
5 9 7 15
5 10 7 15
5 11 7 15
5 12 7 15
5 13 7 15
5 12 8 15
5 13 8 15
5 2 9 6
5 2 9 7
5 2 9 8
5 2 9 9
5 2 9 10
5 2 9 12
5 2 9 13
5 2 9 15
5 3 9 6
5 3 9 7
5 3 9 8
5 3 9 9
5 3 9 10
5 3 9 12
5 3 9 13
5 3 9 15
5 4 9 6
5 4 9 7
5 4 9 8
5 4 9 9
5 4 9 10
5 4 9 12
5 4 9 13
5 4 9 15
5 6 9 12
5 6 9 13
5 6 9 15
5 7 9 12
5 7 9 13
5 7 9 15
5 8 9 12
5 8 9 13
5 8 9 15
5 9 9 12
5 9 9 13
5 9 9 15
5 10 9 12
5 10 9 13
5 10 9 15
5 12 9 15
5 13 9 15
5 12 10 15
5 13 10 15
5 2 11 6
5 2 11 7
5 2 11 8
5 2 11 9
5 2 11 10
5 2 11 12
5 2 11 13
5 3 11 6
5 3 11 7
5 3 11 8
5 3 11 9
5 3 11 10
5 3 11 12
5 3 11 13
5 4 11 6
5 4 11 7
5 4 11 8
5 4 11 9
5 4 11 10
5 4 11 12
5 4 11 13
5 6 11 12
5 6 11 13
5 7 11 12
5 7 11 13
5 8 11 12
5 8 11 13
5 9 11 12
5 9 11 13
5 10 11 12
5 10 11 13
5 3 12 6
5 3 12 7
5 3 12 8
5 3 12 9
5 3 12 10
5 3 12 12
5 3 12 13
5 4 12 6
5 4 12 7
5 4 12 8
5 4 12 9
5 4 12 10
5 4 12 12
5 4 12 13
5 6 12 12
5 6 12 13
5 7 12 12
5 7 12 13
5 8 12 12
5 8 12 13
5 9 12 12
5 9 12 13
5 10 12 12
5 10 12 13
6 2 9 6
6 2 9 7
6 2 9 8
6 2 9 9
6 2 9 10
6 2 9 12
6 2 9 13
6 3 9 6
6 3 9 7
6 3 9 8
6 3 9 9
6 3 9 10
6 3 9 12
6 3 9 13
6 4 9 6
6 4 9 7
6 4 9 8
6 4 9 9
6 4 9 10
6 4 9 12
6 4 9 13
6 6 9 12
6 6 9 13
6 7 9 12
6 7 9 13
6 8 9 12
6 8 9 13
6 9 9 12
6 9 9 13
6 10 9 12
6 10 9 13
6 2 11 6
6 2 11 7
6 2 11 8
6 2 11 9
6 2 11 10
6 2 11 12
6 2 11 13
6 3 11 6
6 3 11 7
6 3 11 8
6 3 11 9
6 3 11 10
6 3 11 12
6 3 11 13
6 4 11 6
6 4 11 7
6 4 11 8
6 4 11 9
6 4 11 10
6 4 11 12
6 4 11 13
6 6 11 12
6 6 11 13
6 7 11 12
6 7 11 13
6 8 11 12
