20 11
01110000000
01010000000
11111111111
11111111011
11111111011
11111111011
11111111111
11111111111
11111111011
11111011011
11111111111
11111011111
11111111111
11111111111
11111111111
11111111111
11111111111
01111111111
01111111111
00111111111
1169
1 2 3 4
1 2 4 4
1 2 5 4
1 2 6 4
1 2 7 4
1 2 8 4
1 2 9 4
1 2 10 4
1 2 11 4
1 2 12 4
1 2 13 4
1 2 14 4
1 2 15 4
1 2 16 4
1 2 17 4
1 2 18 4
1 2 19 4
3 1 7 10
3 1 7 11
3 2 7 10
3 2 7 11
3 3 7 10
3 3 7 11
3 4 7 10
3 4 7 11
3 5 7 10
3 5 7 11
3 6 7 10
3 6 7 11
3 7 7 10
3 7 7 11
3 8 7 10
3 8 7 11
3 1 8 10
3 1 8 11
3 2 8 10
3 2 8 11
3 3 8 10
3 3 8 11
3 4 8 10
3 4 8 11
3 5 8 10
3 5 8 11
3 6 8 10
3 6 8 11
3 7 8 10
3 7 8 11
3 8 8 10
3 8 8 11
3 1 11 7
3 1 11 8
3 1 11 10
3 1 11 11
3 2 11 7
3 2 11 8
3 2 11 10
3 2 11 11
3 3 11 7
3 3 11 8
3 3 11 10
3 3 11 11
3 4 11 7
3 4 11 8
3 4 11 10
3 4 11 11
3 5 11 7
3 5 11 8
3 5 11 10
3 5 11 11
3 7 11 10
3 7 11 11
3 8 11 10
3 8 11 11
3 7 12 10
3 7 12 11
3 8 12 10
3 8 12 11
3 1 13 7
3 1 13 8
3 1 13 10
3 1 13 11
3 2 13 7
3 2 13 8
3 2 13 10
3 2 13 11
3 3 13 7
3 3 13 8
3 3 13 10
3 3 13 11
3 4 13 7
3 4 13 8
3 4 13 10
3 4 13 11
3 5 13 7
3 5 13 8
3 5 13 10
3 5 13 11
3 7 13 10
3 7 13 11
3 8 13 10
3 8 13 11
3 1 14 7
3 1 14 8
3 1 14 10
3 1 14 11
3 2 14 7
3 2 14 8
3 2 14 10
3 2 14 11
3 3 14 7
3 3 14 8
3 3 14 10
3 3 14 11
3 4 14 7
3 4 14 8
3 4 14 10
3 4 14 11
3 5 14 7
3 5 14 8
3 5 14 10
3 5 14 11
3 7 14 10
3 7 14 11
3 8 14 10
3 8 14 11
3 1 15 7
3 1 15 8
3 1 15 10
3 1 15 11
3 2 15 7
3 2 15 8
3 2 15 10
3 2 15 11
3 3 15 7
3 3 15 8
3 3 15 10
3 3 15 11
3 4 15 7
3 4 15 8
3 4 15 10
3 4 15 11
3 5 15 7
3 5 15 8
3 5 15 10
3 5 15 11
3 7 15 10
3 7 15 11
3 8 15 10
3 8 15 11
3 1 16 7
3 1 16 8
3 1 16 10
3 1 16 11
3 2 16 7
3 2 16 8
3 2 16 10
3 2 16 11
3 3 16 7
3 3 16 8
3 3 16 10
3 3 16 11
3 4 16 7
3 4 16 8
3 4 16 10
3 4 16 11
3 5 16 7
3 5 16 8
3 5 16 10
3 5 16 11
3 7 16 10
3 7 16 11
3 8 16 10
3 8 16 11
3 1 17 7
3 1 17 8
3 1 17 10
3 1 17 11
3 2 17 7
3 2 17 8
3 2 17 10
3 2 17 11
3 3 17 7
3 3 17 8
3 3 17 10
3 3 17 11
3 4 17 7
3 4 17 8
3 4 17 10
3 4 17 11
3 5 17 7
3 5 17 8
3 5 17 10
3 5 17 11
3 7 17 10
3 7 17 11
3 8 17 10
3 8 17 11
3 2 18 7
3 2 18 8
3 2 18 10
3 2 18 11
3 3 18 7
3 3 18 8
3 3 18 10
3 3 18 11
3 4 18 7
3 4 18 8
3 4 18 10
3 4 18 11
3 5 18 7
3 5 18 8
3 5 18 10
3 5 18 11
3 7 18 10
3 7 18 11
3 8 18 10
3 8 18 11
3 2 19 7
3 2 19 8
3 2 19 10
3 2 19 11
3 3 19 7
3 3 19 8
3 3 19 10
3 3 19 11
3 4 19 7
3 4 19 8
3 4 19 10
3 4 19 11
3 5 19 7
3 5 19 8
3 5 19 10
3 5 19 11
3 7 19 10
3 7 19 11
3 8 19 10
3 8 19 11
3 3 20 7
3 3 20 8
3 3 20 10
3 3 20 11
3 4 20 7
3 4 20 8
3 4 20 10
3 4 20 11
3 5 20 7
3 5 20 8
3 5 20 10
3 5 20 11
3 7 20 10
3 7 20 11
3 8 20 10
3 8 20 11
4 1 11 7
4 1 11 8
4 2 11 7
4 2 11 8
4 3 11 7
4 3 11 8
4 4 11 7
4 4 11 8
4 5 11 7
4 5 11 8
4 1 13 7
4 1 13 8
4 2 13 7
4 2 13 8
4 3 13 7
4 3 13 8
4 4 13 7
4 4 13 8
4 5 13 7
4 5 13 8
4 1 14 7
4 1 14 8
4 2 14 7
4 2 14 8
4 3 14 7
4 3 14 8
4 4 14 7
4 4 14 8
4 5 14 7
4 5 14 8
4 1 15 7
4 1 15 8
4 2 15 7
4 2 15 8
4 3 15 7
4 3 15 8
4 4 15 7
4 4 15 8
4 5 15 7
4 5 15 8
4 1 16 7
4 1 16 8
4 2 16 7
4 2 16 8
4 3 16 7
4 3 16 8
4 4 16 7
4 4 16 8
4 5 16 7
4 5 16 8
4 1 17 7
4 1 17 8
4 2 17 7
4 2 17 8
4 3 17 7
4 3 17 8
4 4 17 7
4 4 17 8
4 5 17 7
4 5 17 8
4 2 18 7
4 2 18 8
4 3 18 7
4 3 18 8
4 4 18 7
4 4 18 8
4 5 18 7
4 5 18 8
4 2 19 7
4 2 19 8
4 3 19 7
4 3 19 8
4 4 19 7
4 4 19 8
4 5 19 7
4 5 19 8
4 3 20 7
4 3 20 8
4 4 20 7
4 4 20 8
4 5 20 7
4 5 20 8
5 1 11 7
5 1 11 8
5 2 11 7
5 2 11 8
5 3 11 7
5 3 11 8
5 4 11 7
5 4 11 8
5 5 11 7
5 5 11 8
5 1 13 7
5 1 13 8
5 2 13 7
5 2 13 8
5 3 13 7
5 3 13 8
5 4 13 7
5 4 13 8
5 5 13 7
5 5 13 8
5 1 14 7
5 1 14 8
5 2 14 7
5 2 14 8
5 3 14 7
5 3 14 8
5 4 14 7
5 4 14 8
5 5 14 7
5 5 14 8
5 1 15 7
5 1 15 8
5 2 15 7
5 2 15 8
5 3 15 7
5 3 15 8
5 4 15 7
5 4 15 8
5 5 15 7
5 5 15 8
5 1 16 7
5 1 16 8
5 2 16 7
5 2 16 8
5 3 16 7
5 3 16 8
5 4 16 7
5 4 16 8
5 5 16 7
5 5 16 8
5 1 17 7
5 1 17 8
5 2 17 7
5 2 17 8
5 3 17 7
5 3 17 8
5 4 17 7
5 4 17 8
5 5 17 7
5 5 17 8
5 2 18 7
5 2 18 8
5 3 18 7
5 3 18 8
5 4 18 7
5 4 18 8
5 5 18 7
5 5 18 8
5 2 19 7
5 2 19 8
5 3 19 7
5 3 19 8
5 4 19 7
5 4 19 8
5 5 19 7
5 5 19 8
5 3 20 7
5 3 20 8
5 4 20 7
5 4 20 8
5 5 20 7
5 5 20 8
