18 17
00111111111111000
01111111111111111
01111111111001001
01110011111001001
01111111111001001
01011110011001001
01000111111001001
11111110111111111
11111111111111111
11000110111001011
11111111111111111
11111111111111111
10000010010100011
10000010010100011
11111111111111111
10000010000111111
10000010000000000
11111110000000000
351
1 3 5 7
1 3 5 8
1 3 5 9
1 3 5 10
1 3 5 11
1 4 5 7
1 4 5 8
1 4 5 9
1 4 5 10
1 4 5 11
1 4 6 7
1 7 7 10
1 7 7 11
1 10 8 14
1 11 8 14
1 7 9 10
1 7 9 11
1 7 9 14
1 10 9 14
1 11 9 14
1 7 11 10
1 7 11 11
1 7 11 14
1 10 11 14
1 11 11 14
1 7 12 10
1 7 12 11
1 7 12 14
1 10 12 14
1 11 12 14
1 7 15 10
2 2 5 7
2 2 5 8
2 2 5 9
2 2 5 10
2 2 5 11
2 3 5 7
2 3 5 8
2 3 5 9
2 3 5 10
2 3 5 11
2 4 5 7
2 4 5 8
2 4 5 9
2 4 5 10
2 4 5 11
2 4 6 7
2 7 7 10
2 7 7 11
2 2 8 7
2 10 8 14
2 10 8 17
2 11 8 14
2 11 8 17
2 14 8 17
2 2 9 7
2 2 9 10
2 2 9 11
2 2 9 14
2 2 9 17
2 7 9 10
2 7 9 11
2 7 9 14
2 7 9 17
2 10 9 14
2 10 9 17
2 11 9 14
2 11 9 17
2 14 9 17
2 2 11 7
2 2 11 10
2 2 11 11
2 2 11 14
2 2 11 17
2 7 11 10
2 7 11 11
2 7 11 14
2 7 11 17
2 10 11 14
2 10 11 17
2 11 11 14
2 11 11 17
2 14 11 17
2 2 12 7
2 2 12 10
2 2 12 11
2 2 12 14
2 2 12 17
2 7 12 10
2 7 12 11
2 7 12 14
2 7 12 17
2 10 12 14
2 10 12 17
2 11 12 14
2 11 12 17
2 14 12 17
2 7 15 10
2 7 15 17
2 10 15 17
3 2 5 7
3 2 5 8
3 2 5 9
3 2 5 10
3 2 5 11
3 3 5 7
3 3 5 8
3 3 5 9
3 3 5 10
3 3 5 11
3 4 5 7
3 4 5 8
3 4 5 9
3 4 5 10
3 4 5 11
3 4 6 7
3 7 7 10
3 7 7 11
3 2 8 7
3 2 9 7
3 2 9 10
3 2 9 11
3 7 9 10
3 7 9 11
3 2 11 7
3 2 11 10
3 2 11 11
3 7 11 10
3 7 11 11
3 2 12 7
3 2 12 10
3 2 12 11
3 7 12 10
3 7 12 11
3 7 15 10
4 7 7 10
4 7 7 11
4 7 9 10
4 7 9 11
4 7 11 10
4 7 11 11
4 7 12 10
4 7 12 11
4 7 15 10
5 6 7 10
5 6 7 11
5 7 7 10
5 7 7 11
5 2 8 6
5 2 8 7
5 2 9 6
5 2 9 7
5 2 9 10
5 2 9 11
5 6 9 10
5 6 9 11
5 7 9 10
5 7 9 11
5 2 11 6
5 2 11 7
5 2 11 10
5 2 11 11
5 6 11 10
5 6 11 11
5 7 11 10
5 7 11 11
5 2 12 6
5 2 12 7
5 2 12 10
5 2 12 11
5 6 12 10
5 6 12 11
5 7 12 10
5 7 12 11
5 7 15 10
7 6 9 9
7 6 9 10
7 6 9 11
7 7 9 9
7 7 9 10
7 7 9 11
7 6 11 9
7 6 11 10
7 6 11 11
7 7 11 9
7 7 11 10
7 7 11 11
7 6 12 9
7 6 12 10
7 6 12 11
7 7 12 9
7 7 12 10
7 7 12 11
7 7 15 10
8 1 11 6
