21 12
000111111100
000111111100
000111000100
011111000100
111111100100
110111100100
110111111100
110111100100
110111100100
110111100100
110111100100
110111100100
110111100100
110111100100
110111100100
110111100100
111111100100
110101111100
111111100000
000000000000
000000000000
65
1 4 7 10
1 5 7 10
1 6 7 10
1 6 18 10
1 4 19 6
2 4 7 10
2 5 7 10
2 6 7 10
2 6 18 10
2 4 19 6
3 4 19 6
4 2 17 4
4 2 17 5
4 2 17 6
4 2 19 4
4 2 19 6
4 4 19 6
5 1 17 4
5 1 17 5
5 1 17 6
5 1 17 7
5 2 17 4
5 2 17 5
5 2 17 6
5 2 17 7
5 1 19 4
5 1 19 6
5 1 19 7
5 2 19 4
5 2 19 6
5 2 19 7
5 4 19 6
5 4 19 7
6 4 19 6
6 4 19 7
7 6 18 10
7 7 18 10
7 4 19 6
7 4 19 7
8 4 19 6
8 4 19 7
9 4 19 6
9 4 19 7
10 4 19 6
10 4 19 7
11 4 19 6
11 4 19 7
12 4 19 6
12 4 19 7
13 4 19 6
13 4 19 7
14 4 19 6
14 4 19 7
15 4 19 6
15 4 19 7
16 4 19 6
16 4 19 7
17 1 19 4
17 1 19 6
17 1 19 7
17 2 19 4
17 2 19 6
17 2 19 7
17 4 19 6
17 4 19 7
