17 12
011111111111
010100000101
011111000101
011101000111
111111000101
110111110111
111111111111
110111111100
111110011100
111111111100
111111110100
111100000100
111111111100
101111111100
101100000000
101100000000
111100000000
133
1 2 3 4
1 2 4 4
1 10 4 12
1 2 5 4
1 10 6 12
1 2 7 4
1 2 7 10
1 2 7 12
1 4 7 10
1 4 7 12
1 10 7 12
1 4 8 10
1 2 9 4
1 2 10 4
1 2 10 10
1 4 10 10
1 2 11 4
1 2 12 4
1 2 13 4
1 2 13 10
1 4 13 10
1 4 14 10
3 2 5 6
3 3 5 6
3 4 5 6
3 4 6 6
3 2 7 4
3 2 7 6
3 4 7 6
3 4 8 6
3 2 9 4
3 2 10 4
3 2 11 4
3 2 12 4
3 2 13 4
4 10 6 12
4 2 7 4
4 10 7 12
4 2 9 4
4 2 10 4
4 2 11 4
4 2 12 4
4 2 13 4
5 1 7 4
5 1 7 5
5 1 7 6
5 2 7 4
5 2 7 5
5 2 7 6
5 1 9 4
5 1 9 5
5 2 9 4
5 2 9 5
5 1 10 4
5 1 10 5
5 2 10 4
5 2 10 5
5 1 11 4
5 1 11 5
5 2 11 4
5 2 11 5
5 1 12 4
5 2 12 4
5 1 13 4
5 2 13 4
5 1 17 4
6 4 10 8
6 5 10 8
6 4 11 8
6 5 11 8
7 1 9 4
7 1 9 5
7 2 9 4
7 2 9 5
7 1 10 4
7 1 10 5
7 1 10 8
7 1 10 9
7 1 10 10
7 2 10 4
7 2 10 5
7 2 10 8
7 2 10 9
7 2 10 10
7 4 10 8
7 4 10 9
7 4 10 10
7 5 10 8
7 5 10 9
7 5 10 10
7 1 11 4
7 1 11 5
7 1 11 8
7 2 11 4
7 2 11 5
7 2 11 8
7 4 11 8
7 5 11 8
7 1 12 4
7 2 12 4
7 1 13 4
7 1 13 10
7 2 13 4
7 2 13 10
7 4 13 10
7 4 14 10
7 1 17 4
8 4 10 8
8 4 10 9
8 4 10 10
8 5 10 8
8 5 10 9
8 5 10 10
8 4 11 8
8 5 11 8
8 4 13 10
8 4 14 10
9 1 17 3
9 1 17 4
10 1 13 10
10 2 13 10
10 3 13 10
10 4 13 10
10 3 14 10
10 4 14 10
10 1 17 3
10 1 17 4
11 1 17 3
11 1 17 4
12 1 17 3
12 1 17 4
13 1 17 3
13 1 17 4
