24 24
011100000000000000000000
010100011111111111111110
011111111111111111111110
011111111110000000100010
010100010010000000101111
011111111111111111111111
010000010010000000001011
010000010010000000001011
010000010010000000001011
010000010010000000001111
011111111111111111110010
010000010010000000110010
010000010010000000110010
010000010010000000110010
010000010010000000110010
010000010010000000110010
011111010010000000110010
010001011111111111111110
011111111111111111110000
010001000010000000000000
011111000010000000000000
011111111110000000000000
000000000000000000000000
000000000000000000000000
89
1 2 3 4
1 2 4 4
1 2 6 4
2 8 6 11
2 8 6 19
2 8 6 23
2 11 6 19
2 11 6 23
2 19 6 23
2 8 11 11
2 8 18 11
2 8 18 23
2 11 18 23
2 8 19 11
3 2 6 4
3 2 6 8
3 2 6 11
3 2 6 19
3 2 6 23
3 4 6 8
3 4 6 11
3 4 6 19
3 4 6 23
3 8 6 11
3 8 6 19
3 8 6 23
3 11 6 19
3 11 6 23
3 19 6 23
3 2 11 8
3 2 11 11
3 8 11 11
3 8 18 11
3 8 18 23
3 11 18 23
3 2 19 8
3 2 19 11
3 8 19 11
3 2 22 11
4 2 6 4
4 2 6 8
4 2 6 11
4 4 6 8
4 4 6 11
4 8 6 11
4 2 11 8
4 2 11 11
4 8 11 11
4 8 18 11
4 2 19 8
4 2 19 11
4 8 19 11
4 2 22 11
5 21 10 23
5 21 10 24
6 21 10 23
6 21 10 24
6 2 11 8
6 2 11 11
6 8 11 11
6 8 18 11
6 8 18 23
6 11 18 23
6 2 19 8
6 2 19 11
6 8 19 11
6 2 22 11
11 8 18 11
11 8 18 19
11 8 18 20
11 11 18 19
11 11 18 20
11 2 19 8
11 2 19 11
11 2 19 19
11 2 19 20
11 8 19 11
11 8 19 19
11 8 19 20
11 11 19 19
11 11 19 20
11 2 22 11
17 2 19 6
17 2 21 6
17 2 22 6
19 2 21 6
19 2 22 6
19 2 22 11
19 6 22 11
