13 14
00111111000000
11111111100000
10110011100000
10110011100000
10111111100000
11111111100000
11111111111111
10100000000001
11111111111001
11100011001001
11111111111001
11111111111111
00000000000000
76
1 3 5 7
1 3 5 8
1 4 5 7
1 4 5 8
1 3 6 7
1 3 6 8
1 4 6 7
1 4 6 8
1 3 7 7
1 3 7 8
1 4 7 7
1 4 7 8
2 3 5 7
2 3 5 8
2 3 5 9
2 4 5 7
2 4 5 8
2 4 5 9
2 1 6 3
2 1 6 4
2 1 6 7
2 1 6 8
2 1 6 9
2 3 6 7
2 3 6 8
2 3 6 9
2 4 6 7
2 4 6 8
2 4 6 9
2 1 7 3
2 1 7 4
2 1 7 7
2 1 7 8
2 1 7 9
2 3 7 7
2 3 7 8
2 3 7 9
2 4 7 7
2 4 7 8
2 4 7 9
2 1 9 3
2 1 10 3
2 1 11 3
2 1 12 3
6 1 9 3
6 1 10 3
6 1 11 3
6 1 12 3
7 1 9 3
7 1 10 3
7 1 11 3
7 1 12 3
7 1 12 14
7 3 12 14
9 1 11 7
9 1 11 8
9 1 11 11
9 2 11 7
9 2 11 8
9 2 11 11
9 3 11 7
9 3 11 8
9 3 11 11
9 7 11 11
9 8 11 11
9 1 12 7
9 1 12 8
9 1 12 11
9 2 12 7
9 2 12 8
9 2 12 11
9 3 12 7
9 3 12 8
9 3 12 11
9 7 12 11
9 8 12 11
