11 12
001111111110
001111111111
001111111111
001110101011
001111111111
001111111110
000111101000
000111111000
000111100000
000111100000
000000000000
123
1 3 5 7
1 3 5 9
1 3 5 11
1 4 5 7
1 4 5 9
1 4 5 11
1 5 5 7
1 5 5 9
1 5 5 11
1 7 5 9
1 7 5 11
1 9 5 11
1 3 6 7
1 3 6 9
1 3 6 11
1 4 6 7
1 4 6 9
1 4 6 11
1 5 6 7
1 5 6 9
1 5 6 11
1 7 6 9
1 7 6 11
1 9 6 11
1 4 7 7
1 5 7 7
1 4 8 7
1 4 8 9
1 5 8 7
1 5 8 9
1 7 8 9
1 4 9 7
1 5 9 7
1 4 10 7
1 5 10 7
2 3 5 7
2 3 5 9
2 3 5 11
2 3 5 12
2 4 5 7
2 4 5 9
2 4 5 11
2 4 5 12
2 5 5 7
2 5 5 9
2 5 5 11
2 5 5 12
2 7 5 9
2 7 5 11
2 7 5 12
2 9 5 11
2 9 5 12
2 3 6 7
2 3 6 9
2 3 6 11
2 4 6 7
2 4 6 9
2 4 6 11
2 5 6 7
2 5 6 9
2 5 6 11
2 7 6 9
2 7 6 11
2 9 6 11
2 4 7 7
2 5 7 7
2 4 8 7
2 4 8 9
2 5 8 7
2 5 8 9
2 7 8 9
2 4 9 7
2 5 9 7
2 4 10 7
2 5 10 7
3 3 5 7
3 3 5 9
3 3 5 11
3 3 5 12
3 4 5 7
3 4 5 9
3 4 5 11
3 4 5 12
3 5 5 7
3 5 5 9
3 5 5 11
3 5 5 12
3 7 5 9
3 7 5 11
3 7 5 12
3 9 5 11
3 9 5 12
3 3 6 7
3 3 6 9
3 3 6 11
3 4 6 7
3 4 6 9
3 4 6 11
3 5 6 7
3 5 6 9
3 5 6 11
3 7 6 9
3 7 6 11
3 9 6 11
3 4 7 7
3 5 7 7
3 4 8 7
3 4 8 9
3 5 8 7
3 5 8 9
3 7 8 9
3 4 9 7
3 5 9 7
3 4 10 7
3 5 10 7
5 4 8 9
5 5 8 9
5 6 8 9
5 7 8 9
6 4 8 9
6 5 8 9
6 6 8 9
6 7 8 9
