14 10
0111111110
0101010010
0111111111
0111111111
0111111011
1111011011
1111111111
1111111111
1011111111
1001010101
1001010101
1001110101
1111111111
0000000000
177
1 2 3 4
1 2 3 6
1 2 3 9
1 4 3 6
1 4 3 9
1 6 3 9
1 2 4 4
1 2 4 6
1 2 4 9
1 4 4 6
1 4 4 9
1 6 4 9
1 2 5 4
1 2 5 6
1 4 5 6
1 2 6 4
1 2 7 4
1 2 7 6
1 2 7 9
1 4 7 6
1 4 7 9
1 6 7 9
1 2 8 4
1 2 8 6
1 2 8 9
1 4 8 6
1 4 8 9
1 6 8 9
1 4 9 6
1 4 9 9
1 6 9 9
1 4 12 6
1 4 13 6
3 2 7 6
3 2 7 7
3 2 7 9
3 2 7 10
3 3 7 6
3 3 7 7
3 3 7 9
3 3 7 10
3 4 7 6
3 4 7 7
3 4 7 9
3 4 7 10
3 6 7 9
3 6 7 10
3 7 7 9
3 7 7 10
3 2 8 6
3 2 8 7
3 2 8 9
3 2 8 10
3 3 8 6
3 3 8 7
3 3 8 9
3 3 8 10
3 4 8 6
3 4 8 7
3 4 8 9
3 4 8 10
3 6 8 9
3 6 8 10
3 7 8 9
3 7 8 10
3 3 9 6
3 3 9 7
3 3 9 9
3 3 9 10
3 4 9 6
3 4 9 7
3 4 9 9
3 4 9 10
3 6 9 9
3 6 9 10
3 7 9 9
3 7 9 10
3 4 12 6
3 4 13 6
3 4 13 10
3 6 13 10
4 2 7 6
4 2 7 7
4 2 7 9
4 2 7 10
4 3 7 6
4 3 7 7
4 3 7 9
4 3 7 10
4 4 7 6
4 4 7 7
4 4 7 9
4 4 7 10
4 6 7 9
4 6 7 10
4 7 7 9
4 7 7 10
4 2 8 6
4 2 8 7
4 2 8 9
4 2 8 10
4 3 8 6
4 3 8 7
4 3 8 9
4 3 8 10
4 4 8 6
4 4 8 7
4 4 8 9
4 4 8 10
4 6 8 9
4 6 8 10
4 7 8 9
4 7 8 10
4 3 9 6
4 3 9 7
4 3 9 9
4 3 9 10
4 4 9 6
4 4 9 7
4 4 9 9
4 4 9 10
4 6 9 9
4 6 9 10
4 7 9 9
4 7 9 10
4 4 12 6
4 4 13 6
4 4 13 10
4 6 13 10
5 2 7 6
5 2 7 7
5 3 7 6
5 3 7 7
5 4 7 6
5 4 7 7
5 2 8 6
5 2 8 7
5 3 8 6
5 3 8 7
5 4 8 6
5 4 8 7
5 3 9 6
5 3 9 7
5 4 9 6
5 4 9 7
5 4 12 6
5 4 13 6
6 1 13 4
7 4 12 6
7 1 13 4
7 1 13 6
7 1 13 8
7 1 13 10
7 4 13 6
7 4 13 8
7 4 13 10
7 6 13 8
7 6 13 10
7 8 13 10
8 4 12 6
8 1 13 4
8 1 13 6
8 1 13 8
8 1 13 10
8 4 13 6
8 4 13 8
8 4 13 10
8 6 13 8
8 6 13 10
8 8 13 10
9 4 12 6
9 4 13 6
9 4 13 8
9 4 13 10
9 6 13 8
9 6 13 10
9 8 13 10
