15 15
011111111111111
010100001000001
011111111000001
000100000000001
000111111111101
000101111111111
000101000000101
000111111111111
000101000000101
011111000000101
010111111111111
011111111111100
000000000000000
000000000000000
000000000000000
35
1 2 3 4
1 2 3 9
1 4 3 9
1 4 8 15
1 4 11 15
5 4 8 6
5 4 8 13
5 6 8 13
5 4 10 6
5 4 11 6
5 4 11 13
5 6 11 13
5 4 12 6
5 4 12 13
5 6 12 13
6 6 8 13
6 6 8 15
6 13 8 15
6 6 11 13
6 6 11 15
6 13 11 15
6 6 12 13
8 4 10 6
8 4 11 6
8 4 11 13
8 4 11 15
8 6 11 13
8 6 11 15
8 13 11 15
8 4 12 6
8 4 12 13
8 6 12 13
10 2 12 4
10 2 12 5
10 2 12 6
