8 10
0111111111
0101111111
1111110111
1111111111
1111111110
1101111110
1111111100
0111111100
115
1 2 3 4
1 2 3 5
1 2 3 6
1 2 4 4
1 2 4 5
1 2 4 6
1 2 4 8
1 2 4 9
1 2 4 10
1 4 4 8
1 4 4 9
1 4 4 10
1 5 4 8
1 5 4 9
1 5 4 10
1 6 4 8
1 6 4 9
1 6 4 10
1 2 5 4
1 2 5 5
1 2 5 6
1 2 5 8
1 2 5 9
1 4 5 8
1 4 5 9
1 5 5 8
1 5 5 9
1 6 5 8
1 6 5 9
1 4 6 8
1 4 6 9
1 5 6 8
1 5 6 9
1 6 6 8
1 6 6 9
1 2 7 4
1 2 7 5
1 2 7 6
1 2 7 8
1 4 7 8
1 5 7 8
1 6 7 8
1 2 8 4
1 2 8 5
1 2 8 6
1 2 8 8
1 4 8 8
1 5 8 8
1 6 8 8
2 4 4 8
2 4 4 9
2 4 4 10
2 5 4 8
2 5 4 9
2 5 4 10
2 6 4 8
2 6 4 9
2 6 4 10
2 4 5 8
2 4 5 9
2 5 5 8
2 5 5 9
2 6 5 8
2 6 5 9
2 4 6 8
2 4 6 9
2 5 6 8
2 5 6 9
2 6 6 8
2 6 6 9
2 4 7 8
2 5 7 8
2 6 7 8
2 4 8 8
2 5 8 8
2 6 8 8
3 1 7 4
3 1 7 5
3 1 7 6
3 2 7 4
3 2 7 5
3 2 7 6
3 2 8 4
3 2 8 5
3 2 8 6
4 1 7 4
4 1 7 5
4 1 7 6
4 1 7 7
4 1 7 8
4 2 7 4
4 2 7 5
4 2 7 6
4 2 7 7
4 2 7 8
4 2 8 4
4 2 8 5
4 2 8 6
4 2 8 7
4 2 8 8
5 1 7 4
5 1 7 5
5 1 7 6
5 1 7 7
5 1 7 8
5 2 7 4
5 2 7 5
5 2 7 6
5 2 7 7
5 2 7 8
5 2 8 4
5 2 8 5
5 2 8 6
5 2 8 7
5 2 8 8
