9 10
0011111100
0011111111
1111111111
1011101101
1111111101
1111101101
1111111101
1110101101
1111111111
114
1 3 5 7
1 3 5 8
1 4 5 7
1 4 5 8
1 5 5 7
1 5 5 8
1 3 7 7
1 3 7 8
1 4 7 7
1 4 7 8
1 5 7 7
1 5 7 8
1 3 9 5
1 3 9 7
1 3 9 8
1 5 9 7
1 5 9 8
2 3 5 7
2 3 5 8
2 4 5 7
2 4 5 8
2 5 5 7
2 5 5 8
2 3 7 7
2 3 7 8
2 4 7 7
2 4 7 8
2 5 7 7
2 5 7 8
2 3 9 5
2 3 9 7
2 3 9 8
2 3 9 10
2 5 9 7
2 5 9 8
2 5 9 10
2 7 9 10
2 8 9 10
3 1 5 3
3 1 5 4
3 1 5 5
3 1 5 7
3 1 5 8
3 3 5 7
3 3 5 8
3 4 5 7
3 4 5 8
3 5 5 7
3 5 5 8
3 1 6 3
3 1 6 4
3 1 6 5
3 1 7 3
3 1 7 4
3 1 7 5
3 1 7 7
3 1 7 8
3 3 7 7
3 3 7 8
3 4 7 7
3 4 7 8
3 5 7 7
3 5 7 8
3 1 8 3
3 1 9 3
3 1 9 5
3 1 9 7
3 1 9 8
3 1 9 10
3 3 9 5
3 3 9 7
3 3 9 8
3 3 9 10
3 5 9 7
3 5 9 8
3 5 9 10
3 7 9 10
3 8 9 10
4 3 9 5
5 1 7 7
5 1 7 8
5 2 7 7
5 2 7 8
5 3 7 7
5 3 7 8
5 4 7 7
5 4 7 8
5 5 7 7
5 5 7 8
5 1 9 5
5 1 9 7
5 1 9 8
5 2 9 5
5 2 9 7
5 2 9 8
5 3 9 5
5 3 9 7
5 3 9 8
5 5 9 7
5 5 9 8
6 1 9 5
6 2 9 5
6 3 9 5
7 1 9 5
7 1 9 7
7 1 9 8
7 2 9 5
7 2 9 7
7 2 9 8
7 3 9 5
7 3 9 7
7 3 9 8
7 5 9 7
7 5 9 8
