7 10
0111111111
0101111101
1111111111
1111101111
1111111111
0001111110
0001111110
80
1 2 3 4
1 2 3 5
1 2 3 6
1 2 3 7
1 2 3 8
1 2 3 10
1 4 3 10
1 5 3 10
1 6 3 10
1 7 3 10
1 8 3 10
1 2 4 4
1 2 4 5
1 7 4 10
1 8 4 10
1 2 5 4
1 2 5 5
1 2 5 7
1 2 5 8
1 2 5 10
1 4 5 7
1 4 5 8
1 4 5 10
1 5 5 7
1 5 5 8
1 5 5 10
1 7 5 10
1 8 5 10
1 4 6 7
1 4 6 8
1 5 6 7
1 5 6 8
1 4 7 7
1 4 7 8
1 5 7 7
1 5 7 8
2 4 5 7
2 4 5 8
2 5 5 7
2 5 5 8
2 4 6 7
2 4 6 8
2 5 6 7
2 5 6 8
2 4 7 7
2 4 7 8
2 5 7 7
2 5 7 8
3 1 5 7
3 1 5 8
3 1 5 9
3 1 5 10
3 2 5 7
3 2 5 8
3 2 5 9
3 2 5 10
3 3 5 7
3 3 5 8
3 3 5 9
3 3 5 10
3 4 5 7
3 4 5 8
3 4 5 9
3 4 5 10
3 5 5 7
3 5 5 8
3 5 5 9
3 5 5 10
3 4 6 7
3 4 6 8
3 4 6 9
3 5 6 7
3 5 6 8
3 5 6 9
3 4 7 7
3 4 7 8
3 4 7 9
3 5 7 7
3 5 7 8
3 5 7 9
